,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:singular matrix,1,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.004205155372619629,0.034699082374572754,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
1,Cascading:singular matrix,1,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.008410310745239258,0.043474555015563965,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
2,Cascading:singular matrix,1,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.012615466117858886,0.059940218925476074,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
3,Cascading:singular matrix,1,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.016820621490478516,0.08421862125396729,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
4,Cascading:singular matrix,1,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021025776863098145,0.09011945724487305,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
5,Cascading:singular matrix,1,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.025230932235717773,0.09815049171447754,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
6,Cascading:singular matrix,1,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0294360876083374,0.11166718006134033,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
7,Cascading:singular matrix,1,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03364124298095703,0.13688650131225585,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
8,Cascading:singular matrix,1,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03784639835357666,0.14253244400024415,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
9,Cascading:singular matrix,1,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04205155372619629,0.15060935020446778,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
10,Cascading:singular matrix,1,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04625670909881592,0.16414077281951905,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
11,Cascading:singular matrix,1,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.050461864471435545,0.18947784900665282,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
12,Cascading:singular matrix,1,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05466701984405518,0.19433729648590087,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
13,Cascading:singular matrix,1,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0588721752166748,0.2017650842666626,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
14,Cascading:singular matrix,1,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06307733058929443,0.2145982027053833,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
15,Cascading:singular matrix,1,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06728248596191407,0.23669304847717285,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
16,Cascading:singular matrix,2,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0714876413345337,0.2713921308517456,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
17,Cascading:singular matrix,2,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07569279670715331,0.28016760349273684,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
18,Cascading:singular matrix,2,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07989795207977295,0.29663326740264895,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
19,Cascading:singular matrix,2,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08410310745239258,0.32091166973114016,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
20,Cascading:singular matrix,2,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08830826282501221,0.3268125057220459,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
21,Cascading:singular matrix,2,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09251341819763184,0.3348435401916504,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
22,Cascading:singular matrix,2,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09671857357025146,0.3483602285385132,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
23,Cascading:singular matrix,2,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10092372894287109,0.3735795497894287,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
24,Cascading:singular matrix,2,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10512888431549072,0.379225492477417,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
25,Cascading:singular matrix,2,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10933403968811035,0.3873023986816406,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
26,Cascading:singular matrix,2,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11353919506072999,0.4008338212966919,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
27,Cascading:singular matrix,2,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1177443504333496,0.4261708974838257,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
28,Cascading:singular matrix,2,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12194950580596924,0.43103034496307374,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
29,Cascading:singular matrix,2,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12615466117858887,0.43845813274383544,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
30,Cascading:singular matrix,2,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13035981655120848,0.45129125118255614,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
31,Cascading:singular matrix,2,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13456497192382813,0.4733860969543457,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
32,Cascading:singular matrix,4,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13877012729644775,0.5080851793289185,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
33,Cascading:singular matrix,4,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1429752826690674,0.5168606519699097,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
34,Cascading:singular matrix,4,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.147180438041687,0.5333263158798218,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
35,Cascading:singular matrix,4,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15138559341430663,0.557604718208313,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
36,Cascading:singular matrix,4,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15559074878692628,0.5635055541992188,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
37,Cascading:singular matrix,4,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1597959041595459,0.5715365886688233,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
38,Cascading:singular matrix,4,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.16400105953216554,0.585053277015686,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
39,Cascading:singular matrix,4,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.16820621490478516,0.6102725982666015,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
40,Cascading:singular matrix,4,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17241137027740477,0.6159185409545899,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
41,Cascading:singular matrix,4,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17661652565002442,0.6239954471588135,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
42,Cascading:singular matrix,4,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18082168102264404,0.6375268697738647,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
43,Cascading:singular matrix,4,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18502683639526368,0.6628639459609985,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
44,Cascading:singular matrix,4,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1892319917678833,0.6677233934402466,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
45,Cascading:singular matrix,4,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19343714714050292,0.6751511812210083,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
46,Cascading:singular matrix,4,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19764230251312256,0.687984299659729,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,ionosphere
