,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:singular matrix,1,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.005018973350524902,0.03170311450958252,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
1,Cascading:singular matrix,1,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.010037946701049804,0.04030387401580811,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
2,Cascading:singular matrix,1,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.015056920051574708,0.05666358470916748,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
3,Cascading:singular matrix,1,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.020075893402099608,0.08101661205291748,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
4,Cascading:singular matrix,1,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02509486675262451,0.08632156848907471,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
5,Cascading:singular matrix,1,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.030113840103149415,0.09449939727783203,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
6,Cascading:singular matrix,1,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03513281345367432,0.1080794095993042,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
7,Cascading:singular matrix,1,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.040151786804199216,0.13102421760559083,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
8,Cascading:singular matrix,1,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04517076015472412,0.13595240116119384,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
9,Cascading:singular matrix,1,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05018973350524902,0.1435112476348877,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
10,Cascading:singular matrix,1,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05520870685577393,0.1560591220855713,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
11,Cascading:singular matrix,1,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06022768020629883,0.17861640453338623,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
12,Cascading:singular matrix,1,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06524665355682373,0.18353097438812255,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
13,Cascading:singular matrix,1,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07026562690734864,0.19062654972076415,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
14,Cascading:singular matrix,1,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07528460025787354,0.2023548364639282,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
15,Cascading:singular matrix,1,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08030357360839843,0.22297921180725097,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
16,Cascading:singular matrix,2,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08532254695892334,0.2546823263168335,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+LSML+kNN,ionosphere
