,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.8746438746438746,0.8333333333333334,0.8529411764705882,0.8611111111111112,0.9444444444444444,0.8333333333333334,0.9166666666666666,0.8571428571428571,0.7941176470588235,0.9705882352941176,0.8823529411764706,0.1,10000,0.01,True,0.05173083361260914,0.005385446548461914,1.1145761489868165,0.002008938789367676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
1,,1,0.8917378917378918,0.8888888888888888,0.9117647058823529,0.8333333333333334,0.9444444444444444,0.8611111111111112,0.9444444444444444,0.8571428571428571,0.8235294117647058,0.9117647058823529,0.9411764705882353,0.1,10000,0.01,False,0.04359896587138511,0.010770893096923828,1.9207684516906738,0.003761887550354004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
2,,1,0.8945868945868946,0.8611111111111112,0.8529411764705882,0.8333333333333334,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9142857142857143,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.1,10000,0.05,True,0.04454902724978814,0.016156339645385744,2.8041290521621702,0.005575919151306152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
3,,1,0.8717948717948718,0.8611111111111112,0.9117647058823529,0.7777777777777778,0.9444444444444444,0.8333333333333334,0.9166666666666666,0.8857142857142857,0.7941176470588235,0.8823529411764706,0.9117647058823529,0.1,10000,0.05,False,0.052209303484146895,0.021541786193847657,3.6718308210372923,0.007372474670410157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.861198738170347,0.8055555555555556,0.0,0.8055555555555556,0.9722222222222222,0.8611111111111112,0.9166666666666666,0.8285714285714286,0.7647058823529411,0.9705882352941176,0.8235294117647058,0.1,10000,0.1,True,0.266919269071414,0.02692723274230957,4.617436170578003,0.009034466743469239,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,stand+SDML+kNN,ionosphere
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8831908831908832,0.8888888888888888,0.8823529411764706,0.8055555555555556,0.9722222222222222,0.8333333333333334,0.8611111111111112,0.8857142857142857,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.1,10000,0.1,False,0.05220134716511741,0.03231267929077149,5.606646418571472,0.010831069946289063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8632478632478633,0.8333333333333334,0.8823529411764706,0.8055555555555556,0.9444444444444444,0.8611111111111112,0.8888888888888888,0.8571428571428571,0.7647058823529411,0.9411764705882353,0.8529411764705882,0.1,10000,0.25,True,0.05269726623161244,0.0376981258392334,6.545549058914185,0.012650823593139649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8660968660968661,0.8888888888888888,0.8823529411764706,0.8611111111111112,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8285714285714286,0.7941176470588235,0.8529411764705882,0.8235294117647058,0.1,10000,0.25,False,0.040687692990899714,0.043083572387695314,7.480260109901428,0.014428448677062989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8803418803418803,0.8888888888888888,0.8529411764705882,0.8055555555555556,0.9444444444444444,0.8611111111111112,0.9166666666666666,0.8571428571428571,0.8235294117647058,0.9411764705882353,0.9117647058823529,0.1,100000,0.01,True,0.04546359456912616,0.048469018936157224,25.33325560092926,0.016173124313354492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8831908831908832,0.8888888888888888,0.8529411764705882,0.8055555555555556,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.8571428571428571,0.8235294117647058,0.9411764705882353,0.9117647058823529,0.1,100000,0.01,False,0.04505169252375102,0.05385446548461914,42.9939288854599,0.01792600154876709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,ionosphere
