,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,100,full,,1,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,0.033333333333333326,0.0019364595413208009,15.340628123283386,0.001289057731628418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,iris
1,100,diagonal,,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.0038729190826416017,25.859924936294554,0.0024374246597290037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,iris
2,250,full,,1,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.033333333333333326,0.005809378623962402,64.8028175354004,0.003587818145751953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,iris
3,250,diagonal,,1,0.94,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.04666666666666665,0.0077458381652832035,90.39333109855652,0.004727292060852051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,iris
4,500,full,,1,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,0.033333333333333326,0.009682297706604004,165.1953080892563,0.005865287780761719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,iris
5,500,diagonal,,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.011618757247924804,214.80297272205354,0.007008099555969238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,iris
6,100,full,,2,0.94,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9333333333333333,0.046666666666666655,0.013555216789245605,230.14360084533692,0.008141350746154786,0.9837037037037037,0.9703703703703703,0.9925925925925926,0.9851851851851852,0.9851851851851852,0.9925925925925926,0.9851851851851852,0.9925925925925926,0.9777777777777777,0.9703703703703703,0.9851851851851852,0.007978021936495572,CMAESFme+kNN,iris
7,100,diagonal,,2,0.94,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,0.05537749241945382,0.015491676330566407,240.66289765834807,0.00927588939666748,0.9777777777777777,0.9851851851851852,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9851851851851852,0.9851851851851852,0.9629629629629629,0.9777777777777777,0.006625386599999387,CMAESFme+kNN,iris
8,250,full,,2,0.9333333333333333,0.8,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.059628479399994376,0.017428135871887206,279.6057902574539,0.010425257682800292,0.9866666666666667,0.9851851851851852,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9777777777777777,0.9851851851851852,0.9925925925925926,0.9925925925925926,0.9629629629629629,0.9925925925925926,0.009251848886516159,CMAESFme+kNN,iris
9,250,diagonal,,2,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,0.04988876515698587,0.019364595413208008,305.19630382061007,0.011558938026428222,0.9785185185185186,0.9851851851851852,0.9777777777777777,0.9703703703703703,0.9851851851851852,0.9851851851851852,0.9777777777777777,0.9703703703703703,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.006153054713272657,CMAESFme+kNN,iris
