,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,weighted,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.03999999999999999,0.0018180131912231446,0.026065897941589356,0.0004512786865234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,iris
1,,1,1,orthonormalized,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.003636026382446289,0.05291073322296143,0.0008171319961547852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,iris
2,,1,2,weighted,0.96,1.0,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,0.04422166387140532,0.005454039573669434,0.06520719528198242,0.001184535026550293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,iris
3,,1,2,orthonormalized,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.007272052764892578,0.08404443264007569,0.0015488386154174805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,iris
4,,1,3,weighted,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.03999999999999999,0.009090065956115723,0.09229135513305664,0.0019170522689819336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,iris
5,,1,3,orthonormalized,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.010908079147338868,0.10318260192871094,0.002278637886047363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,iris
6,,2,1,weighted,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.03999999999999999,0.012726092338562011,0.1292484998703003,0.002645063400268555,0.9777777777777777,0.9777777777777777,0.9925925925925926,0.9703703703703703,0.9629629629629629,0.9851851851851852,0.9777777777777777,0.9851851851851852,0.9777777777777777,0.9851851851851852,0.9629629629629629,0.009369711585684101,LFDA+kNN,iris
7,,2,1,orthonormalized,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.03999999999999999,0.014544105529785157,0.15609333515167237,0.0030088186264038085,0.9785185185185186,0.9851851851851852,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.005185185185185192,LFDA+kNN,iris
8,,2,2,weighted,0.9533333333333334,1.0,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,1.0,0.9333333333333333,0.04268749491621898,0.0163621187210083,0.16838979721069336,0.003381085395812988,0.9829629629629629,0.9851851851851852,0.9925925925925926,0.9777777777777777,0.9777777777777777,0.9925925925925926,0.9777777777777777,0.9925925925925926,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.007444352311941411,LFDA+kNN,iris
9,,2,2,orthonormalized,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.03999999999999999,0.018180131912231445,0.18722703456878662,0.0037488460540771483,0.9785185185185186,0.9851851851851852,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.005185185185185192,LFDA+kNN,iris
