,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,100,full,,1,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.026666666666666658,0.004514813423156738,15.513986420631408,0.0014147281646728516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,iris
1,100,diagonal,,1,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.04988876515698587,0.009029626846313477,26.265771222114562,0.002588629722595215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,iris
2,250,full,,1,0.9533333333333334,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.030550504633038926,0.013544440269470215,67.13096899986267,0.0037743568420410155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,iris
3,250,diagonal,,1,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.029814239699997188,0.018059253692626953,92.86920750141144,0.00495145320892334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,iris
4,500,full,,1,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.8666666666666667,1.0,0.8,0.06289320754704401,0.02257406711578369,172.60095188617706,0.006131529808044434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,iris
5,500,diagonal,,1,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.04666666666666665,0.02708888053894043,223.0200513601303,0.007296442985534668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,iris
6,100,full,,2,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.035901098714230015,0.03160369396209717,238.5340377807617,0.00843966007232666,0.9837037037037037,0.9777777777777777,0.9703703703703703,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9925925925925926,0.9851851851851852,0.005543196128553995,stand+CMAESFme+kNN,iris
7,100,diagonal,,2,0.9466666666666667,0.8666666666666667,1.0,1.0,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,0.0581186525805423,0.036118507385253906,249.28582258224486,0.009592199325561523,0.977037037037037,0.9851851851851852,0.9777777777777777,0.9703703703703703,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9777777777777777,0.003989010968247786,stand+CMAESFme+kNN,iris
8,250,full,,2,0.9533333333333334,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,0.04268749491621898,0.040633320808410645,290.15102035999297,0.01074230670928955,0.9792592592592593,0.9851851851851852,0.9777777777777777,0.9851851851851852,0.9777777777777777,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9851851851851852,0.9851851851851852,0.9925925925925926,0.00863844725162268,stand+CMAESFme+kNN,iris
9,250,diagonal,,2,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.04216370213557838,0.04514813423156738,315.88925886154175,0.011888265609741211,0.9748148148148148,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9703703703703703,0.9851851851851852,0.9629629629629629,0.9629629629629629,0.9777777777777777,0.007554102983100433,stand+CMAESFme+kNN,iris
