,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.9266666666666666,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,0.05537749241945382,0.0061354398727416996,7.252182579040527,0.0013432025909423829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
1,,1,25,diagonal,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.012270879745483399,8.927912330627441,0.0024932146072387694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
2,,1,100,full,1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,0.03265986323710904,0.018406319618225097,35.59824204444885,0.003645181655883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
3,,1,100,diagonal,1,0.94,0.8666666666666667,0.9333333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.04666666666666665,0.024541759490966798,42.10849695205688,0.004800248146057129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
4,,4,25,full,1,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,0.8,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,0.06531972647421806,0.030677199363708496,49.23306999206543,0.005951571464538574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
5,,4,25,diagonal,1,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8,0.05537749241945382,0.036812639236450194,50.992474865913394,0.007103514671325683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
6,,4,100,full,1,0.96,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.8666666666666667,0.9333333333333333,1.0,1.0,0.9333333333333333,0.04422166387140532,0.04294807910919189,78.15899147987366,0.008248472213745117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
7,,4,100,diagonal,1,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,1.0,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.04216370213557838,0.049083518981933597,84.92141144275665,0.009401297569274903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
8,,8,25,full,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,0.04268749491621898,0.055218958854675294,91.89008295536041,0.01055145263671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
9,,8,25,diagonal,1,0.9266666666666666,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8,0.05537749241945382,0.06135439872741699,93.61060454845429,0.011697793006896972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,iris
