,error,jdepur__f__sig,jdepur__s__n_gen,jdepur__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.5,25,full,1,0.9266666666666666,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.8,1.0,0.06289320754704401,0.005134391784667969,19.10118432044983,0.001306605339050293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
1,,0.5,25,diagonal,1,0.9133333333333333,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,1.0,0.8,0.9333333333333333,0.8666666666666667,1.0,0.8,0.0733333333333333,0.010268783569335938,23.374679827690123,0.0024501562118530275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
2,,0.5,100,full,1,0.9133333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,0.8,0.8666666666666667,1.0,0.8666666666666667,0.8,0.0733333333333333,0.015403175354003906,92.99104447364807,0.0035974264144897463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
3,,0.5,100,diagonal,1,0.9,0.8,0.9333333333333333,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.8,0.061463629715285906,0.020537567138671876,108.99206109046936,0.004741072654724121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
4,,1.0,25,full,1,0.94,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.8,0.8,0.9333333333333333,0.07571877794400363,0.025671958923339844,126.53624866008758,0.005880594253540039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
5,,1.0,25,diagonal,1,0.9066666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,1.0,0.8666666666666667,0.07423685817106697,0.030806350708007812,130.64775927066802,0.007011699676513672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
6,,1.0,100,full,1,0.9066666666666666,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,1.0,0.8,0.9333333333333333,0.8666666666666667,0.8,0.06798692684790378,0.03594074249267578,199.85627808570862,0.008150672912597657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
7,,1.0,100,diagonal,1,0.9266666666666666,0.8666666666666667,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,0.05537749241945382,0.04107513427734375,216.05233583450317,0.009294271469116211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
8,,10.0,25,full,1,0.9266666666666666,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,0.9333333333333333,0.8,1.0,0.9333333333333333,0.07571877794400364,0.046209526062011716,233.2802748441696,0.010431861877441407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
9,,10.0,25,diagonal,1,0.88,0.7333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.0653197264742181,0.05134391784667969,237.5254632949829,0.011573123931884765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,iris
