,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003780651092529297,0.008223319053649902,0.001375126838684082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007561302185058594,0.016245388984680177,0.0027281522750854494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01134195327758789,0.03891034126281738,0.004009056091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
3,Cascading:Unable to make 500 chunks of 1 examples each,1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015122604370117188,0.04635710716247558,0.004009056091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
4,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018903255462646484,0.05829477310180664,0.004009056091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
5,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.96,2,10,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.044221663871405324,0.02268390655517578,0.06082580089569092,0.005226516723632812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,iris
6,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.9666666666666667,2,50,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.033333333333333326,0.026464557647705077,0.06720435619354248,0.006400465965270996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,iris
7,Cascading:Unable to make 100 chunks of 2 examples each,1,0.0,2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030245208740234376,0.07187056541442871,0.006400465965270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
8,Cascading:Unable to make 500 chunks of 2 examples each,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402585983276367,0.07890598773956299,0.006400465965270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
9,Cascading:Unable to make 1000 chunks of 2 examples each,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03780651092529297,0.08455448150634766,0.006400465965270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
10,Cascading:Unable to make 1000 chunks of 2 examples each,1,0.9733333333333334,3,10,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.03265986323710904,0.04158716201782227,0.08847436904907227,0.007575225830078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,iris
11,Cascading:Unable to make 50 chunks of 3 examples each,1,0.0,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04536781311035156,0.09329195022583008,0.007575225830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
12,Cascading:Unable to make 100 chunks of 3 examples each,1,0.0,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914846420288086,0.09665992259979247,0.007575225830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
13,Cascading:Unable to make 500 chunks of 3 examples each,1,0.0,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052929115295410153,0.0983875036239624,0.007575225830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
14,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.0,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05670976638793945,0.10167322158813477,0.007575225830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
15,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.9666666666666667,5,10,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.033333333333333326,0.06049041748046875,0.10445024967193603,0.008745312690734863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,iris
16,Cascading:Unable to make 50 chunks of 5 examples each,1,0.0,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06427106857299805,0.10739791393280029,0.008745312690734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
17,Cascading:Unable to make 100 chunks of 5 examples each,1,0.0,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06805171966552734,0.1104538917541504,0.008745312690734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
18,Cascading:Unable to make 500 chunks of 5 examples each,1,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07183237075805664,0.1148486852645874,0.008745312690734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
19,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07561302185058594,0.11809468269348145,0.008745312690734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
20,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.9533333333333334,7,10,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,0.8666666666666667,0.04268749491621898,0.07939367294311524,0.1210439920425415,0.009912586212158203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,iris
21,Cascading:Unable to make 50 chunks of 7 examples each,1,0.0,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08317432403564454,0.12478454113006592,0.009912586212158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
22,Cascading:Unable to make 100 chunks of 7 examples each,1,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695497512817382,0.12973577976226808,0.009912586212158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,iris
