,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,640,1,0.9601851851851851,0.9459459459459459,0.9523809523809523,0.972972972972973,0.9459459459459459,0.972972972972973,0.972972972972973,0.9523809523809523,0.9714285714285714,0.9523809523809523,0.9619047619047619,0.010991593785368332,0.0032593250274658204,16.685586404800414,0.002271866798400879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
1,,0.01,50,1280,1,0.95,0.9459459459459459,0.9523809523809523,0.954954954954955,0.918918918918919,0.963963963963964,0.9819819819819819,0.9428571428571428,0.9619047619047619,0.9142857142857143,0.9619047619047619,0.019597002554958096,0.006518650054931641,61.33653099536896,0.00438222885131836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
2,,0.01,50,2560,1,0.9314814814814815,0.9459459459459459,0.9238095238095239,0.9459459459459459,0.9099099099099099,0.954954954954955,0.954954954954955,0.9142857142857143,0.9428571428571428,0.8952380952380953,0.9238095238095239,0.01959903097119971,0.009777975082397462,222.77618210315705,0.006508469581604004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
3,,0.01,50,5120,1,0.9157407407407407,0.918918918918919,0.9142857142857143,0.9279279279279279,0.8918918918918919,0.9279279279279279,0.954954954954955,0.9047619047619048,0.9238095238095239,0.8761904761904762,0.9142857142857143,0.020413658037648528,0.013037300109863282,938.0196975469589,0.008657455444335938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
4,,0.01,250,640,1,0.9583333333333334,0.954954954954955,0.9523809523809523,0.963963963963964,0.9369369369369369,0.972972972972973,0.972972972972973,0.9523809523809523,0.9714285714285714,0.9428571428571428,0.9619047619047619,0.011933743289543143,0.0162966251373291,953.869657421112,0.010802626609802246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
5,,0.01,250,1280,1,0.9472222222222222,0.954954954954955,0.9428571428571428,0.954954954954955,0.918918918918919,0.963963963963964,0.9819819819819819,0.9428571428571428,0.9523809523809523,0.9142857142857143,0.9428571428571428,0.018913735183162507,0.019555950164794923,998.4585541963577,0.012951827049255371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
6,,0.01,250,2560,1,0.9296296296296296,0.9459459459459459,0.9142857142857143,0.9369369369369369,0.918918918918919,0.9369369369369369,0.954954954954955,0.9142857142857143,0.9428571428571428,0.9047619047619048,0.9238095238095239,0.015577373608002548,0.02281527519226074,1155.5196800470353,0.01507883071899414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
7,,0.01,250,5120,1,0.9148148148148149,0.9099099099099099,0.9142857142857143,0.9279279279279279,0.8918918918918919,0.9459459459459459,0.9459459459459459,0.9047619047619048,0.9333333333333333,0.8761904761904762,0.8952380952380953,0.0223123118998912,0.026074600219726563,1830.517766547203,0.017223620414733888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
8,,0.01,500,640,1,0.9592592592592593,0.9459459459459459,0.9523809523809523,0.9819819819819819,0.9369369369369369,0.972972972972973,0.972972972972973,0.9523809523809523,0.9714285714285714,0.9428571428571428,0.9619047619047619,0.014445269421710663,0.02933392524719238,1843.9655650377274,0.019357585906982423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
9,,0.01,500,1280,1,0.95,0.9369369369369369,0.9523809523809523,0.9459459459459459,0.9279279279279279,0.963963963963964,0.9819819819819819,0.9428571428571428,0.9619047619047619,0.9333333333333333,0.9523809523809523,0.01540759325975419,0.0325932502746582,1884.6404826641083,0.021503353118896486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,mice-protein
