,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,diagonal,1,0.9953703703703703,0.990990990990991,1.0,1.0,1.0,0.9819819819819819,1.0,0.9904761904761905,1.0,0.9904761904761905,1.0,0.006123151241176785,0.004891514778137207,810.0829789876938,0.00247647762298584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,mice-protein
1,,1,100,diagonal,1,0.9907407407407407,0.972972972972973,0.9904761904761905,1.0,0.990990990990991,0.990990990990991,1.0,0.9904761904761905,0.9809523809523809,0.9904761904761905,1.0,0.008179498178758517,0.009783029556274414,4229.937541723251,0.004827260971069336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,mice-protein
2,,4,25,diagonal,1,0.9962962962962963,1.0,1.0,1.0,0.990990990990991,0.9819819819819819,1.0,1.0,1.0,0.9904761904761905,1.0,0.0060242659238386575,0.014674544334411621,5421.740150904656,0.007160639762878418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,mice-protein
3,,4,100,diagonal,1,0.9990740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.002857142857142847,0.019566059112548828,10213.268967533111,0.009450340270996093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,mice-protein
4,,8,25,diagonal,1,0.9990740740740741,1.0,1.0,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,1.0,0.0027027027027027085,0.024457573890686035,11590.385790514945,0.011727118492126464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,mice-protein
5,,8,100,diagonal,1,0.9972222222222222,1.0,1.0,1.0,0.990990990990991,1.0,1.0,0.9904761904761905,1.0,1.0,0.9904761904761905,0.004287781491928173,0.029349088668823242,16773.393563294412,0.014197373390197754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,mice-protein
6,,1,25,diagonal,2,0.9916666666666667,0.990990990990991,0.9809523809523809,0.9819819819819819,1.0,0.990990990990991,1.0,0.9904761904761905,0.9904761904761905,0.9904761904761905,1.0,0.0064967437438548,0.03424060344696045,17583.476542282104,0.016472578048706055,0.9989711934156379,1.0,0.9989743589743589,0.9989680082559339,1.0,0.9958720330237358,0.9969040247678018,1.0,1.0,1.0,0.9989743589743589,0.0013845645455293114,JDEkNN+kNN,mice-protein
7,,1,100,diagonal,2,0.9814814814814815,0.9459459459459459,0.9904761904761905,1.0,1.0,0.990990990990991,0.990990990990991,0.9809523809523809,0.9619047619047619,0.9714285714285714,0.9809523809523809,0.01641689075150146,0.039132118225097656,21003.331105017664,0.018737530708312987,0.997119341563786,0.9938080495356038,0.9938461538461538,0.9979360165118679,0.9989680082559339,0.9969040247678018,0.9979360165118679,1.0,0.9989743589743589,0.997948717948718,0.9948717948717949,0.0020965417350101317,JDEkNN+kNN,mice-protein
8,,4,25,diagonal,2,0.9935185185185185,0.990990990990991,0.9904761904761905,1.0,0.990990990990991,0.9819819819819819,1.0,0.9904761904761905,1.0,0.9904761904761905,1.0,0.005845253246723953,0.04402363300323486,22195.133714199066,0.020941495895385742,0.9994855967078189,1.0,0.9989743589743589,0.9989680082559339,0.9989680082559339,1.0,1.0,0.997948717948718,1.0,1.0,1.0,0.0006889716580504713,JDEkNN+kNN,mice-protein
9,,4,100,diagonal,2,0.9944444444444445,0.9819819819819819,0.9904761904761905,1.0,1.0,0.990990990990991,0.990990990990991,1.0,1.0,1.0,0.9904761904761905,0.006041179105940623,0.04891514778137207,26986.66253082752,0.02317855358123779,0.9996913580246913,1.0,0.9989743589743589,1.0,1.0,0.9989680082559339,1.0,1.0,1.0,0.9989743589743589,1.0,0.00047098070630001323,JDEkNN+kNN,mice-protein
10,,8,25,diagonal,2,0.9972222222222222,1.0,0.9809523809523809,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,1.0,0.006043646224894623,0.05380666255950928,28363.779353809357,0.02534196376800537,0.9993827160493827,0.9989680082559339,0.9989743589743589,0.9989680082559339,0.9989680082559339,0.9989680082559339,1.0,1.0,1.0,1.0,0.9989743589743589,0.0005045388995701908,JDEkNN+kNN,mice-protein
11,,8,100,diagonal,2,0.9962962962962963,1.0,0.9904761904761905,1.0,0.990990990990991,1.0,1.0,0.9904761904761905,1.0,1.0,0.9904761904761905,0.004604803557027194,0.058698177337646484,33546.787126588824,0.027496910095214842,0.9996913580246913,1.0,1.0,0.9989680082559339,1.0,1.0,0.9989680082559339,1.0,0.9989743589743589,1.0,1.0,0.00047195078869606316,JDEkNN+kNN,mice-protein
12,,1,25,diagonal,4,0.975925925925926,0.990990990990991,0.9714285714285714,0.9819819819819819,0.972972972972973,0.963963963963964,0.990990990990991,0.9714285714285714,0.9619047619047619,0.9714285714285714,0.9809523809523809,0.009616578339776841,0.06358969211578369,34356.87010557651,0.02969238758087158,0.9916666666666667,0.9979360165118679,0.9938461538461538,0.9917440660474717,0.9886480908152735,0.9896800825593395,0.9834881320949432,0.9938461538461538,0.9938461538461538,0.9907692307692307,0.9928205128205129,0.0036829953935353563,JDEkNN+kNN,mice-protein
13,,1,100,diagonal,4,0.9638888888888889,0.9459459459459459,0.9619047619047619,0.990990990990991,0.963963963963964,0.972972972972973,0.963963963963964,0.9714285714285714,0.9428571428571428,0.9523809523809523,0.9714285714285714,0.013532523247561334,0.0684812068939209,37776.724668312076,0.031950879096984866,0.9886831275720165,0.9814241486068112,0.9835897435897436,0.9907120743034056,0.9917440660474717,0.9917440660474717,0.9855521155830753,0.9938461538461538,0.9887179487179487,0.9907692307692307,0.9887179487179487,0.0037723329454960653,JDEkNN+kNN,mice-protein
14,,4,25,diagonal,4,0.9824074074074074,0.963963963963964,0.9809523809523809,1.0,0.990990990990991,0.972972972972973,0.972972972972973,0.9714285714285714,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.011042111036242579,0.0733727216720581,38968.52727749348,0.03421032428741455,0.9960905349794239,0.9989680082559339,0.997948717948718,0.9958720330237358,0.9927760577915377,0.9979360165118679,0.9979360165118679,0.9907692307692307,0.9969230769230769,0.9948717948717949,0.9969230769230769,0.0024650684765587265,JDEkNN+kNN,mice-protein
15,,4,100,diagonal,4,0.9898148148148148,0.990990990990991,0.9809523809523809,1.0,0.990990990990991,0.9819819819819819,0.990990990990991,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.004995223225050641,0.07826423645019531,43760.05609412193,0.03648653030395508,0.9979423868312757,0.9989680082559339,0.997948717948718,0.9989680082559339,1.0,0.9958720330237358,0.9969040247678018,0.9958974358974358,0.9969230769230769,0.997948717948718,1.0,0.001454537609335859,JDEkNN+kNN,mice-protein
16,,8,25,diagonal,4,0.9925925925925926,1.0,0.9809523809523809,1.0,0.990990990990991,0.990990990990991,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.008281570776752487,0.08315575122833252,45137.172917103766,0.038777613639831544,0.9959876543209877,0.9979360165118679,0.9938461538461538,0.9989680082559339,0.9958720330237358,0.9989680082559339,0.9948400412796697,0.9958974358974358,0.9958974358974358,0.9958974358974358,0.9917948717948718,0.0021232338256924506,JDEkNN+kNN,mice-protein
17,,8,100,diagonal,4,0.9907407407407407,0.990990990990991,0.9904761904761905,1.0,0.9819819819819819,0.9819819819819819,1.0,0.9904761904761905,0.9904761904761905,1.0,0.9809523809523809,0.007118408655832645,0.08804726600646973,50320.18068988323,0.040952539443969725,0.9966049382716049,0.9979360165118679,0.9969230769230769,0.9958720330237358,0.9979360165118679,0.9948400412796697,0.9917440660474717,0.9989743589743589,0.9948717948717949,1.0,0.9969230769230769,0.0022620865226687338,JDEkNN+kNN,mice-protein
18,,1,25,diagonal,8,0.9435185185185185,0.963963963963964,0.9523809523809523,0.9279279279279279,0.963963963963964,0.954954954954955,0.9369369369369369,0.9238095238095239,0.9142857142857143,0.9428571428571428,0.9523809523809523,0.016289369431112057,0.09293878078460693,51130.263668870924,0.04319617748260498,0.9720164609053498,0.9752321981424149,0.9753846153846154,0.9659442724458205,0.977296181630547,0.9669762641898865,0.9669762641898865,0.9753846153846154,0.9661538461538461,0.9743589743589743,0.9764102564102564,0.004557925213984579,JDEkNN+kNN,mice-protein
19,,1,100,diagonal,8,0.9324074074074075,0.9279279279279279,0.9333333333333333,0.972972972972973,0.918918918918919,0.972972972972973,0.9009009009009009,0.9619047619047619,0.9047619047619048,0.9142857142857143,0.9142857142857143,0.026033602516513984,0.09783029556274414,54550.11823160648,0.04545536041259766,0.9604938271604938,0.9545923632610939,0.9446153846153846,0.978328173374613,0.9649122807017544,0.9618163054695562,0.9535603715170279,0.9692307692307692,0.9538461538461539,0.9702564102564103,0.9538461538461539,0.00966636165274902,JDEkNN+kNN,mice-protein
