,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,1,weighted,0.9809523809523809,0.0,0.9809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29428571428571426,0.006831049919128418,0.3257386922836304,0.0027880191802978514,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,LFDA+kNN,mice-protein
1,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,orthonormalized,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45825756949558405,0.013662099838256836,0.39810445308685305,0.003587222099304199,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45825756949558405,LFDA+kNN,mice-protein
2,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,weighted,0.9969418960244648,0.0,0.9904761904761905,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4568094021930512,0.020493149757385254,0.45591535568237307,0.004688811302185058,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.45825756949558405,LFDA+kNN,mice-protein
3,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,orthonormalized,0.998158379373849,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9904761904761905,0.0,0.0,0.49905488907827084,0.027324199676513672,0.527527141571045,0.00611574649810791,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,LFDA+kNN,mice-protein
4,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,weighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03415524959564209,0.7265591621398926,0.00611574649810791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LFDA+kNN,mice-protein
5,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,orthonormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04098629951477051,0.7761377811431884,0.00611574649810791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LFDA+kNN,mice-protein
6,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,weighted,0.9953051643192489,0.0,0.9809523809523809,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4875930052569563,0.047817349433898926,0.8481220006942749,0.007234549522399903,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4898979485566356,LFDA+kNN,mice-protein
7,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,orthonormalized,0.9976525821596244,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9904761904761905,1.0,0.48873848438858275,0.054648399353027344,0.9100210189819335,0.008360505104064941,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4898979485566356,LFDA+kNN,mice-protein
8,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,weighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06147944927215576,0.9751401901245117,0.008570289611816407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LFDA+kNN,mice-protein
9,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,orthonormalized,0.9857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.9809523809523809,0.0,0.9904761904761905,0.0,0.3942914653364795,0.06831049919128418,1.054849100112915,0.009095501899719239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4000000000000001,LFDA+kNN,mice-protein
10,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,6,weighted,0.9904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.0,0.29714285714285715,0.0751415491104126,1.2538238048553467,0.009514713287353515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30000000000000004,LFDA+kNN,mice-protein
