,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:Matrix is not positive definite,1,50,640,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.006083059310913086,10.231889915466308,0.002128863334655762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
1,Cascading:Matrix is not positive definite,1,50,1280,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.012166118621826172,23.636637091636658,0.004238033294677734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
2,Cascading:Matrix is not positive definite,1,50,2560,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.01824917793273926,43.78788528442383,0.006243062019348144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
3,Cascading:Matrix is not positive definite,1,50,5120,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.024332237243652344,77.20816025733947,0.008328127861022949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
4,Cascading:Matrix is not positive definite,1,250,640,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.03041529655456543,120.91052751541137,0.010424041748046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
5,Cascading:Matrix is not positive definite,1,250,1280,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.03649835586547852,186.83315625190735,0.014570903778076173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
6,Cascading:Matrix is not positive definite,1,250,2560,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.0425814151763916,282.73764061927795,0.019257616996765137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
7,Cascading:Matrix is not positive definite,1,250,5120,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.04866447448730469,444.4088255643845,0.023878145217895507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
8,Cascading:Matrix is not positive definite,1,500,640,0.9087179487179488,0.2702702702702703,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.34760992842108157,0.05474753379821777,522.6669369459153,0.028617215156555176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
9,Cascading:Matrix is not positive definite,1,500,1280,0.9907692307692307,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.06083059310913086,648.6251232385636,0.03322174549102783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.30000000000000004,LSML+kNN,mice-protein
