,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,25,diagonal,1,0.9962962962962963,1.0,0.9904761904761905,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9904761904761905,0.0063173805530579085,0.007271313667297363,1099.5136308431624,0.002260160446166992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,mice-protein
1,,100,diagonal,1,0.9925925925925926,1.0,1.0,1.0,0.990990990990991,1.0,0.990990990990991,1.0,0.9809523809523809,0.9714285714285714,0.9904761904761905,0.009312626058181528,0.014542627334594726,5047.6334061861035,0.004524755477905274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,mice-protein
2,,25,diagonal,2,0.9935185185185185,0.990990990990991,0.9904761904761905,0.9819819819819819,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.9809523809523809,0.007252158039035003,0.02181394100189209,6147.147037029266,0.006662678718566894,0.9980452674897119,0.9969040247678018,0.9989743589743589,0.9958720330237358,0.9979360165118679,0.9989680082559339,0.9969040247678018,0.9969230769230769,0.9989743589743589,1.0,0.9989743589743589,0.0012594077107986375,stand+JDE+kNN,mice-protein
3,,100,diagonal,2,0.9842592592592593,0.9819819819819819,0.9809523809523809,1.0,0.990990990990991,0.972972972972973,0.990990990990991,1.0,0.9809523809523809,0.9523809523809523,0.9904761904761905,0.013399284326689305,0.029085254669189452,10095.266812372207,0.008820867538452149,0.9966049382716049,0.9979360165118679,0.997948717948718,0.9958720330237358,0.9989680082559339,0.9886480908152735,0.9979360165118679,0.9989743589743589,0.9969230769230769,0.9989743589743589,0.9938461538461538,0.0030614100585685494,stand+JDE+kNN,mice-protein
4,,25,diagonal,4,0.9805555555555555,0.9819819819819819,0.9809523809523809,0.963963963963964,1.0,0.990990990990991,0.9819819819819819,0.9809523809523809,0.9904761904761905,0.9714285714285714,0.9619047619047619,0.011384804946411578,0.036356568336486816,11194.78044321537,0.010991287231445313,0.9941358024691358,0.9989680082559339,0.9948717948717949,0.9886480908152735,0.9948400412796697,0.9927760577915377,0.9917440660474717,0.9938461538461538,0.9938461538461538,0.9969230769230769,0.9948717948717949,0.002656133697821571,stand+JDE+kNN,mice-protein
5,,100,diagonal,4,0.9851851851851852,0.990990990990991,1.0,0.9819819819819819,0.990990990990991,0.972972972972973,0.990990990990991,0.9904761904761905,0.9904761904761905,0.9523809523809523,0.9904761904761905,0.01280663933724451,0.04362788200378418,15142.900218558312,0.013167548179626464,0.9934156378600824,0.9969040247678018,0.9917948717948718,0.9917440660474717,0.9969040247678018,0.9896800825593395,0.9938080495356038,0.9969230769230769,0.9928205128205129,0.9928205128205129,0.9907692307692307,0.002527469367661554,stand+JDE+kNN,mice-protein
6,,25,diagonal,8,0.9768518518518519,0.963963963963964,0.9809523809523809,0.963963963963964,0.9819819819819819,0.990990990990991,0.9819819819819819,0.9904761904761905,0.9904761904761905,0.9809523809523809,0.9428571428571428,0.014646707954632441,0.050899195671081546,16242.413849401473,0.015308356285095215,0.9869341563786008,0.9907120743034056,0.9887179487179487,0.9907120743034056,0.9865841073271414,0.9855521155830753,0.9793601651186791,0.9907692307692307,0.9815384615384616,0.9887179487179487,0.9866666666666667,0.003717525119645154,stand+JDE+kNN,mice-protein
7,,100,diagonal,8,0.9694444444444444,0.963963963963964,0.9714285714285714,0.963963963963964,0.990990990990991,0.972972972972973,0.9819819819819819,0.9619047619047619,0.9619047619047619,0.9333333333333333,0.9904761904761905,0.015992843699400152,0.058170509338378903,20190.533624744414,0.01748485565185547,0.9825102880658436,0.9886480908152735,0.9876923076923076,0.9824561403508771,0.9845201238390093,0.9752321981424149,0.977296181630547,0.9887179487179487,0.9764102564102564,0.9846153846153847,0.9794871794871794,0.004878952770026727,stand+JDE+kNN,mice-protein
8,,25,diagonal,16,0.912962962962963,0.9009009009009009,0.9238095238095239,0.918918918918919,0.8918918918918919,0.9459459459459459,0.9099099099099099,0.9047619047619048,0.9333333333333333,0.9142857142857143,0.8857142857142857,0.017510710789093584,0.06544182300567628,21290.04725558758,0.019631338119506837,0.9446502057613169,0.9484004127966976,0.9682051282051282,0.9587203302373581,0.9318885448916409,0.9287925696594427,0.9494324045407637,0.9353846153846154,0.9487179487179487,0.9487179487179487,0.9282051282051282,0.012623175243407172,stand+JDE+kNN,mice-protein
9,,100,diagonal,16,0.9175925925925926,0.8918918918918919,0.9238095238095239,0.8828828828828829,0.954954954954955,0.9099099099099099,0.954954954954955,0.9333333333333333,0.9142857142857143,0.8952380952380953,0.9142857142857143,0.023503631747380203,0.07271313667297363,25238.16703093052,0.02180018424987793,0.9482510288065844,0.9545923632610939,0.96,0.9380804953560371,0.9535603715170279,0.9370485036119711,0.9432404540763674,0.9558974358974359,0.9487179487179487,0.9558974358974359,0.9353846153846154,0.008620783123711404,stand+JDE+kNN,mice-protein
