,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008182382583618164,0.12835142612457276,0.0022853851318359376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01636476516723633,0.17473795413970947,0.004044222831726074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454714775085449,0.2416006803512573,0.0062206506729125975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03272953033447266,0.4395701169967651,0.00877997875213623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
4,Cascading:low >= high,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04091191291809082,0.5571840524673461,0.00877997875213623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04909429550170898,0.5950082302093506,0.01157538890838623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057276678085327146,0.6433685541152954,0.014491438865661621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.9768518518518519,2,100,0.954954954954955,0.9904761904761905,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.9904761904761905,0.0,0.47882846751358854,0.06545906066894532,0.7233009338378906,0.01880829334259033,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4898979485566356,stand+RCA+kNN,mice-protein
8,Cascading:low >= high,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07364144325256347,0.7834118604660034,0.01880829334259033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
9,Cascading:low >= high,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08182382583618164,0.8357716560363769,0.01880829334259033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
10,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09000620841979981,0.8679814577102661,0.021451401710510253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,mice-protein
