,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.994729907773386,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9714285714285714,0.9904761904761905,0.1,10000,0.01,True,0.45584040649165386,0.009389805793762206,4.92192919254303,0.0016996383666992188,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.45825756949558394,stand+SDML+kNN,mice-protein
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,10000,0.01,False,0.48989794855663565,0.018779611587524413,11.00480854511261,0.0025722503662109373,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.48989794855663565,stand+SDML+kNN,mice-protein
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9906542056074766,0.0,1.0,0.0,0.990990990990991,0.0,1.0,1.0,0.0,0.9619047619047619,0.9904761904761905,0.1,10000,0.05,True,0.4853864432979676,0.028169417381286622,13.504396152496337,0.0038866758346557616,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.48989794855663565,stand+SDML+kNN,mice-protein
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,10000,0.05,False,0.45825756949558394,0.037559223175048825,16.72124366760254,0.00454409122467041,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45825756949558394,stand+SDML+kNN,mice-protein
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9893758300132802,0.990990990990991,0.9904761904761905,0.990990990990991,1.0,0.0,0.0,0.9904761904761905,0.0,0.9809523809523809,0.9809523809523809,0.1,10000,0.1,True,0.4533660676708268,0.046949028968811035,18.4203049659729,0.006057953834533692,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.45825756949558394,stand+SDML+kNN,mice-protein
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.996316758747698,1.0,0.9904761904761905,0.0,0.0,1.0,0.990990990990991,1.0,0.0,0.0,0.0,0.1,10000,0.1,False,0.49815707363461925,0.056338834762573245,21.182612943649293,0.007145380973815918,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,stand+SDML+kNN,mice-protein
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9953703703703703,0.0,0.0,0.0,1.0,1.0,0.990990990990991,1.0,0.9904761904761905,0.0,0.9904761904761905,0.1,10000,0.25,True,0.48762060541530877,0.06572864055633545,22.874738025665284,0.008429765701293945,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4898979485566356,stand+SDML+kNN,mice-protein
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9906542056074766,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9904761904761905,0.0,0.9809523809523809,0.1,10000,0.25,False,0.4539131945742675,0.07511844635009765,24.65218892097473,0.009073448181152344,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.45825756949558394,stand+SDML+kNN,mice-protein
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.996078431372549,0.990990990990991,0.0,1.0,0.990990990990991,1.0,1.0,0.0,1.0,0.0,0.9904761904761905,0.1,100000,0.01,True,0.45647037972720245,0.08450825214385986,33.249934792518616,0.010586905479431152,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.45825756949558405,stand+SDML+kNN,mice-protein
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.01,False,0.4000000000000001,0.09389805793762207,41.93087060451508,0.011011362075805664,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,stand+SDML+kNN,mice-protein
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9919678714859438,0.0,0.9809523809523809,1.0,0.0,0.0,0.990990990990991,1.0,1.0,0.9714285714285714,1.0,0.1,100000,0.05,True,0.45463862494389307,0.10328786373138428,49.49052987098694,0.012527751922607421,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.45825756949558394,stand+SDML+kNN,mice-protein
