,cmaes__c__n_neighbors,cmaes__c__weights,cmaes__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,1,uniform,50,full,,1,0.6979166666666666,0.7532467532467533,0.6973684210526315,0.5714285714285714,0.7272727272727273,0.7012987012987013,0.7142857142857143,0.7272727272727273,0.7012987012987013,0.7662337662337663,0.618421052631579,0.056623322578181284,0.005073022842407226,5.8684693574905396,0.0018021106719970704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
1,1,uniform,50,diagonal,,1,0.7005208333333334,0.7402597402597403,0.6447368421052632,0.6753246753246753,0.7142857142857143,0.7142857142857143,0.6623376623376623,0.7012987012987013,0.7272727272727273,0.7402597402597403,0.6842105263157895,0.03118359713823361,0.010146045684814453,9.135006856918334,0.003455853462219238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
2,1,uniform,100,full,,1,0.6861979166666666,0.7012987012987013,0.6578947368421053,0.6753246753246753,0.7012987012987013,0.6883116883116883,0.6103896103896104,0.7012987012987013,0.7662337662337663,0.7142857142857143,0.6447368421052632,0.0403340625179664,0.01521906852722168,20.191631150245666,0.005100893974304199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
3,1,uniform,100,diagonal,,1,0.671875,0.6623376623376623,0.631578947368421,0.6623376623376623,0.7142857142857143,0.6753246753246753,0.6363636363636364,0.7402597402597403,0.6883116883116883,0.6493506493506493,0.6578947368421053,0.0324448782352927,0.020292091369628906,26.829708886146545,0.006780219078063965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
4,1,uniform,250,full,,1,0.6822916666666666,0.6363636363636364,0.6842105263157895,0.7012987012987013,0.7142857142857143,0.7402597402597403,0.6753246753246753,0.7272727272727273,0.6753246753246753,0.6753246753246753,0.5921052631578947,0.0414253771051516,0.025365114212036133,54.818571019172666,0.008481526374816894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
5,1,uniform,250,diagonal,,1,0.6783854166666666,0.6883116883116883,0.7105263157894737,0.6363636363636364,0.6883116883116883,0.6493506493506493,0.6623376623376623,0.7402597402597403,0.7012987012987013,0.6753246753246753,0.631578947368421,0.03263454901907367,0.03043813705444336,71.18670661449433,0.010148191452026367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
6,1,distance,50,full,,1,0.6822916666666666,0.7402597402597403,0.7236842105263158,0.6493506493506493,0.6623376623376623,0.6883116883116883,0.5974025974025974,0.6753246753246753,0.6883116883116883,0.7142857142857143,0.6842105263157895,0.03861522625896858,0.03551115989685059,76.82717053890228,0.011792373657226563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
7,1,distance,50,diagonal,,1,0.7005208333333334,0.6233766233766234,0.7236842105263158,0.7142857142857143,0.7402597402597403,0.6753246753246753,0.7012987012987013,0.7142857142857143,0.7532467532467533,0.7532467532467533,0.6052631578947368,0.048698387628697486,0.04058418273925781,80.16373274326324,0.013425946235656738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
8,1,distance,100,full,,1,0.69921875,0.6883116883116883,0.6973684210526315,0.7272727272727273,0.7012987012987013,0.6883116883116883,0.5714285714285714,0.6363636363636364,0.7922077922077922,0.8051948051948052,0.6842105263157895,0.06435598404523075,0.04565720558166504,91.47897293567658,0.01506645679473877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
9,1,distance,100,diagonal,,1,0.7005208333333334,0.7012987012987013,0.7105263157894737,0.7272727272727273,0.7142857142857143,0.6623376623376623,0.7012987012987013,0.6753246753246753,0.7272727272727273,0.7012987012987013,0.6842105263157895,0.02020284854038766,0.050730228424072266,98.12911586761474,0.01671311855316162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
10,1,distance,250,full,,1,0.68359375,0.7272727272727273,0.6578947368421053,0.6363636363636364,0.7272727272727273,0.7142857142857143,0.6103896103896104,0.6753246753246753,0.7142857142857143,0.7012987012987013,0.6710526315789473,0.03806411210863017,0.05580325126647949,126.48552341461182,0.018199229240417482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
11,1,distance,250,diagonal,,1,0.6848958333333334,0.6623376623376623,0.6973684210526315,0.5974025974025974,0.7142857142857143,0.6623376623376623,0.6753246753246753,0.7142857142857143,0.7272727272727273,0.7532467532467533,0.6447368421052632,0.043275734825208106,0.06087627410888672,143.1400030374527,0.019598388671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
12,4,uniform,50,full,,1,0.7109375,0.7532467532467533,0.6973684210526315,0.7792207792207793,0.6623376623376623,0.7402597402597403,0.7142857142857143,0.6753246753246753,0.7272727272727273,0.7142857142857143,0.6447368421052632,0.03974731540742755,0.06594929695129395,148.9261574983597,0.021004271507263184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
13,4,uniform,50,diagonal,,1,0.6888020833333334,0.7142857142857143,0.6447368421052632,0.6493506493506493,0.7532467532467533,0.6753246753246753,0.6623376623376623,0.7272727272727273,0.7272727272727273,0.6883116883116883,0.6447368421052632,0.037529367196819804,0.07102231979370117,152.3409479856491,0.022404050827026366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
14,4,uniform,100,full,,1,0.6770833333333334,0.6233766233766234,0.6578947368421053,0.6233766233766234,0.7142857142857143,0.7272727272727273,0.6233766233766234,0.7402597402597403,0.7142857142857143,0.7142857142857143,0.631578947368421,0.046641502949469865,0.0760953426361084,163.86313416957856,0.023805665969848632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
15,4,uniform,100,diagonal,,1,0.66796875,0.6103896103896104,0.7236842105263158,0.6363636363636364,0.7272727272727273,0.7012987012987013,0.5844155844155844,0.6363636363636364,0.7142857142857143,0.7272727272727273,0.618421052631579,0.05305045871892969,0.08116836547851562,170.6804831504822,0.02520437240600586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
16,4,uniform,250,full,,1,0.6796875,0.7922077922077922,0.7105263157894737,0.5714285714285714,0.7532467532467533,0.6753246753246753,0.6493506493506493,0.6493506493506493,0.6233766233766234,0.7662337662337663,0.6052631578947368,0.06985886701585084,0.08624138832092285,199.83543770313264,0.02680370807647705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
17,4,uniform,250,diagonal,,1,0.69921875,0.7142857142857143,0.6973684210526315,0.6753246753246753,0.7142857142857143,0.6103896103896104,0.6623376623376623,0.7662337662337663,0.7532467532467533,0.7792207792207793,0.618421052631579,0.055333283767860786,0.09131441116333008,216.7747993707657,0.02821969985961914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
18,4,distance,50,full,,1,0.6966145833333334,0.7142857142857143,0.6842105263157895,0.7012987012987013,0.7272727272727273,0.6753246753246753,0.6623376623376623,0.7272727272727273,0.6753246753246753,0.7012987012987013,0.6973684210526315,0.02114674599682822,0.09638743400573731,222.77659664154052,0.02961409091949463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
19,4,distance,50,diagonal,,1,0.6940104166666666,0.7402597402597403,0.7105263157894737,0.6363636363636364,0.7532467532467533,0.7012987012987013,0.5974025974025974,0.7142857142857143,0.7402597402597403,0.6883116883116883,0.6578947368421053,0.047452037389812206,0.10146045684814453,226.3479006767273,0.031023168563842775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
20,4,distance,100,full,,1,0.6953125,0.6883116883116883,0.7105263157894737,0.6363636363636364,0.7532467532467533,0.7272727272727273,0.6883116883116883,0.6363636363636364,0.7532467532467533,0.7142857142857143,0.6447368421052632,0.042345590602320446,0.10653347969055176,238.447931265831,0.03243367671966553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
21,4,distance,100,diagonal,,1,0.7083333333333334,0.7272727272727273,0.6842105263157895,0.6363636363636364,0.7922077922077922,0.6753246753246753,0.6753246753246753,0.6883116883116883,0.7532467532467533,0.8311688311688312,0.618421052631579,0.06397261568834686,0.11160650253295898,245.55516004562378,0.033853673934936525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
22,4,distance,250,full,,1,0.6809895833333334,0.6493506493506493,0.7105263157894737,0.6493506493506493,0.7012987012987013,0.6363636363636364,0.5974025974025974,0.6753246753246753,0.7532467532467533,0.7792207792207793,0.6578947368421053,0.0526318452559152,0.11667952537536622,275.7721619606018,0.03529124259948731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
23,4,distance,250,diagonal,,1,0.6953125,0.6753246753246753,0.631578947368421,0.6753246753246753,0.7142857142857143,0.7272727272727273,0.6623376623376623,0.6623376623376623,0.7792207792207793,0.7922077922077922,0.631578947368421,0.05376625288343607,0.12175254821777344,293.79939818382263,0.03636908531188965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
24,8,uniform,50,full,,1,0.6979166666666666,0.6493506493506493,0.75,0.6753246753246753,0.7402597402597403,0.6753246753246753,0.6233766233766234,0.7142857142857143,0.7272727272727273,0.7662337662337663,0.6578947368421053,0.045650831591964744,0.12682557106018066,299.868727183342,0.03709278106689453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
25,8,uniform,50,diagonal,,1,0.6888020833333334,0.7142857142857143,0.6842105263157895,0.7012987012987013,0.6623376623376623,0.7012987012987013,0.6493506493506493,0.6623376623376623,0.7012987012987013,0.7792207792207793,0.631578947368421,0.03942854858271408,0.1318985939025879,303.10680117607114,0.037815403938293454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
26,8,uniform,100,full,,1,0.69921875,0.7532467532467533,0.6842105263157895,0.6883116883116883,0.7272727272727273,0.7012987012987013,0.6883116883116883,0.7012987012987013,0.6623376623376623,0.7272727272727273,0.6578947368421053,0.028342086633457695,0.1369716167449951,314.81982696056366,0.03853540420532227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,pima-indians-diabetes
