,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,40,1,0.6927083333333334,0.7272727272727273,0.6578947368421053,0.6883116883116883,0.7142857142857143,0.7142857142857143,0.6753246753246753,0.6883116883116883,0.7142857142857143,0.7402597402597403,0.6052631578947368,0.03748576980778402,0.005189228057861328,0.41854543685913087,0.0018425703048706055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
1,,0.01,50,80,1,0.6940104166666666,0.7142857142857143,0.6447368421052632,0.7142857142857143,0.7272727272727273,0.7402597402597403,0.6753246753246753,0.6753246753246753,0.7402597402597403,0.7142857142857143,0.5921052631578947,0.04486437127111519,0.010378456115722657,0.7339744567871094,0.0034742832183837892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
2,,0.01,50,160,1,0.6966145833333334,0.7272727272727273,0.6973684210526315,0.6623376623376623,0.7402597402597403,0.6883116883116883,0.6363636363636364,0.7142857142857143,0.7402597402597403,0.7402597402597403,0.618421052631579,0.04237405714273631,0.015567684173583984,1.1737961292266845,0.005144762992858887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
3,,0.01,50,320,1,0.69921875,0.7272727272727273,0.6710526315789473,0.7012987012987013,0.7532467532467533,0.7012987012987013,0.6493506493506493,0.7402597402597403,0.7272727272727273,0.6883116883116883,0.631578947368421,0.03763004313744721,0.020756912231445313,1.8271980047225953,0.006790614128112793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
4,,0.01,250,40,1,0.7057291666666666,0.7402597402597403,0.6710526315789473,0.6883116883116883,0.7532467532467533,0.7142857142857143,0.6753246753246753,0.7142857142857143,0.7402597402597403,0.7142857142857143,0.6447368421052632,0.03318502463375374,0.02594614028930664,1.9673571348190309,0.008426260948181153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
5,,0.01,250,80,1,0.69921875,0.7402597402597403,0.6710526315789473,0.7012987012987013,0.7272727272727273,0.6753246753246753,0.6753246753246753,0.7012987012987013,0.7402597402597403,0.7272727272727273,0.631578947368421,0.03385498687647637,0.031135368347167968,2.213681221008301,0.010080552101135254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
6,,0.01,250,160,1,0.6875,0.7012987012987013,0.6842105263157895,0.6753246753246753,0.7142857142857143,0.6883116883116883,0.6753246753246753,0.7142857142857143,0.7272727272727273,0.6623376623376623,0.631578947368421,0.026973000837254117,0.036324596405029295,2.668826866149902,0.011776161193847657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
7,,0.01,250,320,1,0.6953125,0.7402597402597403,0.6842105263157895,0.6883116883116883,0.7532467532467533,0.7012987012987013,0.6363636363636364,0.7012987012987013,0.7402597402597403,0.6883116883116883,0.618421052631579,0.04132428448643485,0.041513824462890626,3.3061599016189573,0.013517522811889648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
8,,0.01,500,40,1,0.6979166666666666,0.7402597402597403,0.6842105263157895,0.7012987012987013,0.7272727272727273,0.7012987012987013,0.6363636363636364,0.6883116883116883,0.7142857142857143,0.7402597402597403,0.6447368421052632,0.034110672539071275,0.04670305252075195,3.4394901752471925,0.015206098556518555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
9,,0.01,500,80,1,0.70703125,0.7272727272727273,0.6973684210526315,0.7012987012987013,0.7402597402597403,0.7012987012987013,0.6493506493506493,0.7142857142857143,0.7662337662337663,0.7402597402597403,0.631578947368421,0.03918497375234507,0.05189228057861328,3.64525682926178,0.016864728927612305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
10,,0.01,500,160,1,0.6979166666666666,0.7272727272727273,0.6710526315789473,0.6883116883116883,0.7402597402597403,0.7142857142857143,0.6493506493506493,0.7142857142857143,0.7272727272727273,0.7142857142857143,0.631578947368421,0.0344869049785504,0.05708150863647461,4.059236693382263,0.018484663963317872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
11,,0.01,500,320,1,0.6979166666666666,0.7142857142857143,0.6447368421052632,0.7012987012987013,0.7662337662337663,0.7142857142857143,0.6623376623376623,0.7142857142857143,0.7532467532467533,0.6883116883116883,0.618421052631579,0.04364560750982029,0.062270736694335936,4.7102113485336305,0.02012357711791992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
12,,0.01,1000,40,1,0.7057291666666666,0.7662337662337663,0.6710526315789473,0.7012987012987013,0.7532467532467533,0.7402597402597403,0.6623376623376623,0.7012987012987013,0.6883116883116883,0.7402597402597403,0.631578947368421,0.04150833076825986,0.06745996475219726,4.862206172943115,0.021774840354919434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
13,,0.01,1000,80,1,0.6966145833333334,0.7272727272727273,0.6710526315789473,0.6883116883116883,0.7272727272727273,0.6883116883116883,0.6883116883116883,0.7272727272727273,0.7142857142857143,0.7402597402597403,0.5921052631578947,0.04101106458954111,0.07264919281005859,5.074872231483459,0.023415589332580568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
14,,0.01,1000,160,1,0.6940104166666666,0.7142857142857143,0.6710526315789473,0.7012987012987013,0.7532467532467533,0.6753246753246753,0.6623376623376623,0.7142857142857143,0.7142857142857143,0.7012987012987013,0.631578947368421,0.03259661088465077,0.07783842086791992,5.507205438613892,0.025061845779418945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
15,,0.01,1000,320,1,0.69140625,0.7142857142857143,0.6710526315789473,0.6883116883116883,0.7272727272727273,0.6753246753246753,0.6493506493506493,0.7142857142857143,0.7272727272727273,0.7012987012987013,0.6447368421052632,0.028890661643676797,0.08302764892578125,6.197075247764587,0.026714229583740236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
16,,0.1,50,40,1,0.69140625,0.7012987012987013,0.6447368421052632,0.7012987012987013,0.7402597402597403,0.7012987012987013,0.6753246753246753,0.7142857142857143,0.7792207792207793,0.6753246753246753,0.5789473684210527,0.05124153334960936,0.08821687698364258,6.388307857513428,0.028357768058776857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
17,,0.1,50,80,1,0.68359375,0.7012987012987013,0.6710526315789473,0.7012987012987013,0.7142857142857143,0.6883116883116883,0.6363636363636364,0.6753246753246753,0.7142857142857143,0.7012987012987013,0.631578947368421,0.028299219903405667,0.0934061050415039,6.780181813240051,0.029999852180480957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
18,,0.1,50,160,1,0.6848958333333334,0.7142857142857143,0.6447368421052632,0.6883116883116883,0.7142857142857143,0.7012987012987013,0.6233766233766234,0.7142857142857143,0.7142857142857143,0.7012987012987013,0.631578947368421,0.03499248112957318,0.09859533309936523,7.488556861877441,0.03099484443664551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,pima-indians-diabetes
