,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.6861979166666666,0.7012987012987013,0.6710526315789473,0.6753246753246753,0.6493506493506493,0.7142857142857143,0.6623376623376623,0.7012987012987013,0.7532467532467533,0.7012987012987013,0.631578947368421,0.033505763015652695,0.0033725500106811523,49.90268974304199,0.0019155502319335937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
1,,1,25,diagonal,1,0.7135416666666666,0.7402597402597403,0.7105263157894737,0.6363636363636364,0.8181818181818182,0.6883116883116883,0.6753246753246753,0.7272727272727273,0.7922077922077922,0.7272727272727273,0.618421052631579,0.059446833256766966,0.006745100021362305,55.68121156692505,0.003596782684326172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
2,,1,100,full,1,0.66015625,0.6753246753246753,0.618421052631579,0.6493506493506493,0.7012987012987013,0.6103896103896104,0.6753246753246753,0.6753246753246753,0.6883116883116883,0.7012987012987013,0.6052631578947368,0.03495250332648791,0.010117650032043457,245.26402728557588,0.005254983901977539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
3,,1,100,diagonal,1,0.6979166666666666,0.7272727272727273,0.7236842105263158,0.6623376623376623,0.6753246753246753,0.6753246753246753,0.6883116883116883,0.7142857142857143,0.7662337662337663,0.7272727272727273,0.618421052631579,0.04002638627847995,0.01349020004272461,267.10918254852294,0.00696260929107666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
4,,4,25,full,1,0.6953125,0.7532467532467533,0.6447368421052632,0.6493506493506493,0.7402597402597403,0.6753246753246753,0.6883116883116883,0.7272727272727273,0.6883116883116883,0.7792207792207793,0.6052631578947368,0.05168671278257022,0.01686275005340576,320.7365444421768,0.008664560317993165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
5,,4,25,diagonal,1,0.6979166666666666,0.7012987012987013,0.6578947368421053,0.6883116883116883,0.7272727272727273,0.6883116883116883,0.6883116883116883,0.7662337662337663,0.7272727272727273,0.7142857142857143,0.618421052631579,0.03855904560589799,0.020235300064086914,326.8707577228546,0.010362720489501953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
6,,4,100,full,1,0.6979166666666666,0.7662337662337663,0.6710526315789473,0.6883116883116883,0.7142857142857143,0.7272727272727273,0.6493506493506493,0.6363636363636364,0.7402597402597403,0.7142857142857143,0.6710526315789473,0.0394218530385116,0.023607850074768066,540.7181024551392,0.0120361328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
7,,4,100,diagonal,1,0.6822916666666666,0.6883116883116883,0.7236842105263158,0.5584415584415584,0.7272727272727273,0.6753246753246753,0.6623376623376623,0.6883116883116883,0.7272727272727273,0.7402597402597403,0.631578947368421,0.052488134077129336,0.02698040008544922,565.0996217727661,0.013715648651123047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
8,,8,25,full,1,0.7005208333333334,0.7272727272727273,0.7236842105263158,0.7012987012987013,0.7142857142857143,0.6753246753246753,0.7012987012987013,0.7012987012987013,0.6883116883116883,0.7792207792207793,0.5921052631578947,0.044916475165076096,0.03035295009613037,623.5924081087112,0.015418553352355957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
9,,8,25,diagonal,1,0.6783854166666666,0.7142857142857143,0.7105263157894737,0.6493506493506493,0.6623376623376623,0.6233766233766234,0.6623376623376623,0.7142857142857143,0.7402597402597403,0.6883116883116883,0.618421052631579,0.03939215748229803,0.03372550010681152,630.2495275735855,0.017062973976135255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
10,,8,100,full,1,0.6940104166666666,0.6493506493506493,0.6842105263157895,0.6493506493506493,0.7012987012987013,0.7012987012987013,0.6623376623376623,0.7142857142857143,0.7532467532467533,0.7662337662337663,0.6578947368421053,0.039541091658711364,0.037098050117492676,861.5286027431488,0.018627142906188963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
11,,8,100,diagonal,1,0.6901041666666666,0.7012987012987013,0.6973684210526315,0.7012987012987013,0.7532467532467533,0.6233766233766234,0.6363636363636364,0.6363636363636364,0.7402597402597403,0.7532467532467533,0.6578947368421053,0.04696706265880806,0.04047060012817383,887.8828111410141,0.020200681686401368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,pima-indians-diabetes
12,,1,25,full,2,0.6979166666666666,0.7532467532467533,0.6710526315789473,0.6103896103896104,0.7142857142857143,0.7402597402597403,0.7012987012987013,0.7142857142857143,0.7272727272727273,0.7012987012987013,0.6447368421052632,0.041815724378151814,0.04384315013885498,937.7855008840561,0.02168881893157959,0.8564814814814815,0.8683068017366136,0.8453757225433526,0.85383502170767,0.8451519536903039,0.869753979739508,0.8465991316931982,0.8552821997105644,0.8668596237337193,0.8509406657018813,0.8627167630057804,0.009225408180549177,stand+JDEkNN+kNN,pima-indians-diabetes
