,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007406282424926758,0.12610270977020263,0.0006796598434448242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014812564849853516,0.2277129888534546,0.0013092041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022218847274780275,0.34244277477264407,0.0019410371780395508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
3,Cascading:low >= high,1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029625129699707032,0.5346853017807007,0.0019410371780395508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
4,Cascading:low >= high,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03703141212463379,0.6470996618270874,0.0019410371780395508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
5,Cascading:low >= high,1,0.6666666666666666,2,10,0.7142857142857143,0.7105263157894737,0.6363636363636364,0.7402597402597403,0.5714285714285714,0.6493506493506493,0.6363636363636364,0.7272727272727273,0.6753246753246753,0.6052631578947368,0.05322810434719381,0.04443769454956055,0.6566039800643921,0.0028354883193969726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,pima-indians-diabetes
6,Cascading:low >= high,1,0.6940104166666666,2,50,0.6883116883116883,0.7105263157894737,0.6363636363636364,0.7012987012987013,0.7142857142857143,0.6883116883116883,0.6883116883116883,0.7402597402597403,0.7012987012987013,0.6710526315789473,0.02622353470847322,0.0518439769744873,0.7026973485946655,0.003693509101867676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,pima-indians-diabetes
7,Cascading:low >= high,1,0.6875,2,100,0.6883116883116883,0.6842105263157895,0.7142857142857143,0.6883116883116883,0.6883116883116883,0.6233766233766234,0.6883116883116883,0.7532467532467533,0.7142857142857143,0.631578947368421,0.03606931238145498,0.059250259399414064,0.8015539646148682,0.004547762870788574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,pima-indians-diabetes
8,Cascading:low >= high,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06665654182434082,0.8821590900421142,0.004547762870788574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
9,Cascading:low >= high,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07406282424926758,0.950344443321228,0.004547762870788574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,pima-indians-diabetes
