,cmaes__c__n_neighbors,cmaes__c__weights,cmaes__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,1,uniform,50,full,,1,0.66796875,0.6883116883116883,0.7105263157894737,0.6233766233766234,0.7142857142857143,0.7272727272727273,0.6623376623376623,0.7012987012987013,0.6233766233766234,0.6233766233766234,0.6052631578947368,0.043505352490059414,0.004252243041992188,5.733085083961487,0.001866626739501953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
1,1,uniform,50,diagonal,,1,0.6640625,0.6623376623376623,0.6973684210526315,0.6623376623376623,0.6883116883116883,0.6493506493506493,0.5974025974025974,0.6753246753246753,0.6883116883116883,0.6363636363636364,0.6842105263157895,0.028724937511372887,0.008504486083984375,8.920269894599915,0.0035406827926635744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
2,1,uniform,100,full,,1,0.6705729166666666,0.6883116883116883,0.7105263157894737,0.5844155844155844,0.6623376623376623,0.7272727272727273,0.6493506493506493,0.7272727272727273,0.7012987012987013,0.6623376623376623,0.5921052631578947,0.04842623875004204,0.012756729125976562,19.801454019546508,0.005197763442993164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
3,1,uniform,100,diagonal,,1,0.6848958333333334,0.6883116883116883,0.75,0.6493506493506493,0.7532467532467533,0.7272727272727273,0.5974025974025974,0.7012987012987013,0.6883116883116883,0.6233766233766234,0.6710526315789473,0.04888079547794132,0.01700897216796875,26.222035503387453,0.006835818290710449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
4,1,uniform,250,full,,1,0.6549479166666666,0.5844155844155844,0.6842105263157895,0.5844155844155844,0.6753246753246753,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.6623376623376623,0.6233766233766234,0.631578947368421,0.04389052420711638,0.021261215209960938,53.26349856853485,0.008495783805847168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
5,1,uniform,250,diagonal,,1,0.6809895833333334,0.6883116883116883,0.631578947368421,0.7012987012987013,0.7402597402597403,0.6623376623376623,0.6883116883116883,0.7272727272727273,0.6623376623376623,0.6883116883116883,0.618421052631579,0.0364419945313286,0.025513458251953124,69.1958242893219,0.010161566734313964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
6,1,distance,50,full,,1,0.66796875,0.6623376623376623,0.6973684210526315,0.5714285714285714,0.6493506493506493,0.7012987012987013,0.6363636363636364,0.6623376623376623,0.7402597402597403,0.6883116883116883,0.6710526315789473,0.04284096463315023,0.02976570129394531,74.64464702606202,0.011805582046508788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
7,1,distance,50,diagonal,,1,0.6653645833333334,0.6233766233766234,0.6052631578947368,0.6623376623376623,0.6883116883116883,0.7012987012987013,0.6753246753246753,0.6753246753246753,0.7142857142857143,0.6753246753246753,0.631578947368421,0.033218023284018405,0.0340179443359375,77.89348621368408,0.013456988334655761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
8,1,distance,100,full,,1,0.6770833333333334,0.7662337662337663,0.6973684210526315,0.6493506493506493,0.6753246753246753,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6883116883116883,0.6493506493506493,0.5526315789473685,0.05675452161186473,0.038270187377929685,88.79891743659974,0.015102505683898926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
9,1,distance,100,diagonal,,1,0.6796875,0.6493506493506493,0.6842105263157895,0.6233766233766234,0.6883116883116883,0.7402597402597403,0.6493506493506493,0.7012987012987013,0.7142857142857143,0.6753246753246753,0.6710526315789473,0.032454691312467476,0.042522430419921875,95.27199621200562,0.016745591163635255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,pima-indians
