,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,40,1,0.6484375,0.7142857142857143,0.631578947368421,0.5324675324675324,0.6363636363636364,0.6493506493506493,0.6883116883116883,0.7532467532467533,0.6623376623376623,0.6233766233766234,0.5921052631578947,0.05897903575215341,0.003598141670227051,0.45382888317108155,0.0017338991165161133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
1,,0.01,50,80,1,0.6536458333333334,0.7272727272727273,0.6447368421052632,0.5584415584415584,0.6883116883116883,0.6233766233766234,0.6623376623376623,0.7272727272727273,0.6883116883116883,0.5974025974025974,0.618421052631579,0.05271084611523165,0.007196283340454102,0.7488921403884887,0.003380751609802246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
2,,0.01,50,160,1,0.6471354166666666,0.6883116883116883,0.6578947368421053,0.5584415584415584,0.6363636363636364,0.6493506493506493,0.6493506493506493,0.7012987012987013,0.6493506493506493,0.6623376623376623,0.618421052631579,0.03714549873486177,0.010794425010681152,1.1944942951202393,0.005073142051696777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
3,,0.01,50,320,1,0.6536458333333334,0.7012987012987013,0.6578947368421053,0.5714285714285714,0.6363636363636364,0.6363636363636364,0.6493506493506493,0.7662337662337663,0.6883116883116883,0.6103896103896104,0.618421052631579,0.05162747174022469,0.014392566680908204,1.951191258430481,0.006768918037414551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
4,,0.01,250,40,1,0.66015625,0.7012987012987013,0.618421052631579,0.5974025974025974,0.6493506493506493,0.6883116883116883,0.6883116883116883,0.7012987012987013,0.6883116883116883,0.6363636363636364,0.631578947368421,0.03597619301922335,0.017990708351135254,2.1157660484313965,0.008423304557800293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
5,,0.01,250,80,1,0.6536458333333334,0.6753246753246753,0.6710526315789473,0.6103896103896104,0.6363636363636364,0.6493506493506493,0.6493506493506493,0.7532467532467533,0.6623376623376623,0.6233766233766234,0.6052631578947368,0.04028973131132105,0.021588850021362304,2.347470498085022,0.010114455223083496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
6,,0.01,250,160,1,0.6575520833333334,0.7142857142857143,0.6578947368421053,0.5844155844155844,0.6493506493506493,0.6363636363636364,0.6753246753246753,0.7272727272727273,0.6623376623376623,0.6233766233766234,0.6447368421052632,0.0395169690155705,0.025186991691589354,2.7963445663452147,0.011815881729125977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
7,,0.01,250,320,1,0.6471354166666666,0.6753246753246753,0.6710526315789473,0.5844155844155844,0.6233766233766234,0.6233766233766234,0.6493506493506493,0.7532467532467533,0.6493506493506493,0.6233766233766234,0.618421052631579,0.04368962140205914,0.028785133361816408,3.499433970451355,0.013502216339111328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
8,,0.01,500,40,1,0.6575520833333334,0.6883116883116883,0.6447368421052632,0.6103896103896104,0.6883116883116883,0.6493506493506493,0.6623376623376623,0.6883116883116883,0.6753246753246753,0.6363636363636364,0.631578947368421,0.025993361017700445,0.032383275032043454,3.6482574701309205,0.015194296836853027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
9,,0.01,500,80,1,0.6458333333333334,0.7142857142857143,0.6447368421052632,0.5324675324675324,0.6233766233766234,0.6233766233766234,0.6883116883116883,0.7012987012987013,0.6753246753246753,0.6233766233766234,0.631578947368421,0.05000538721539147,0.03598141670227051,3.8800050973892213,0.016732144355773925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
10,,0.01,500,160,1,0.6471354166666666,0.6753246753246753,0.6578947368421053,0.5714285714285714,0.6493506493506493,0.6103896103896104,0.6493506493506493,0.7662337662337663,0.6623376623376623,0.6103896103896104,0.618421052631579,0.04959060512577578,0.03957955837249756,4.329342460632324,0.018256878852844237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,pima-indians
