,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.6640625,0.6623376623376623,0.7105263157894737,0.5974025974025974,0.6623376623376623,0.6883116883116883,0.6623376623376623,0.5974025974025974,0.6883116883116883,0.7402597402597403,0.631578947368421,0.043694553650360735,0.003798103332519531,44.07430386543274,0.001832294464111328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
1,,1,25,diagonal,1,0.67578125,0.6623376623376623,0.6842105263157895,0.6103896103896104,0.7402597402597403,0.7142857142857143,0.7142857142857143,0.6883116883116883,0.6623376623376623,0.6363636363636364,0.6447368421052632,0.03808641405948563,0.007596206665039062,49.368906784057614,0.0035410404205322267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
2,,1,100,full,1,0.66796875,0.7012987012987013,0.6710526315789473,0.6103896103896104,0.6623376623376623,0.7272727272727273,0.6623376623376623,0.6363636363636364,0.6883116883116883,0.6753246753246753,0.6447368421052632,0.03165861019773626,0.011394309997558593,217.20664258003234,0.0052468299865722655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
3,,1,100,diagonal,1,0.69140625,0.7662337662337663,0.6973684210526315,0.6493506493506493,0.6883116883116883,0.7012987012987013,0.7402597402597403,0.6883116883116883,0.6623376623376623,0.6363636363636364,0.6842105263157895,0.03719342073670323,0.015192413330078125,237.01657214164734,0.006937956809997559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
4,,4,25,full,1,0.66796875,0.6883116883116883,0.6578947368421053,0.6493506493506493,0.6883116883116883,0.7272727272727273,0.7142857142857143,0.6363636363636364,0.6753246753246753,0.6623376623376623,0.5789473684210527,0.0399341399546756,0.018990516662597656,282.93733463287356,0.008624410629272461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
5,,4,25,diagonal,1,0.6770833333333334,0.6493506493506493,0.6710526315789473,0.5714285714285714,0.7142857142857143,0.6753246753246753,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.631578947368421,0.045784476414896344,0.022788619995117186,288.3434096097946,0.010309839248657226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
6,,4,100,full,1,0.6575520833333334,0.6363636363636364,0.7236842105263158,0.5714285714285714,0.5974025974025974,0.6883116883116883,0.7012987012987013,0.6493506493506493,0.6753246753246753,0.6493506493506493,0.6842105263157895,0.04458527537380477,0.02658672332763672,472.08722400665283,0.011999011039733887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
7,,4,100,diagonal,1,0.6705729166666666,0.6623376623376623,0.6578947368421053,0.6883116883116883,0.6883116883116883,0.6623376623376623,0.6753246753246753,0.6233766233766234,0.7142857142857143,0.7142857142857143,0.618421052631579,0.031172320746066774,0.03038482666015625,493.88500649929045,0.0136993408203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
8,,8,25,full,1,0.6770833333333334,0.6103896103896104,0.75,0.6493506493506493,0.6493506493506493,0.7142857142857143,0.6623376623376623,0.6493506493506493,0.7142857142857143,0.7402597402597403,0.631578947368421,0.045956024861819746,0.03418292999267578,543.4172206640244,0.015380263328552246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
9,,8,25,diagonal,1,0.6875,0.6883116883116883,0.7105263157894737,0.6493506493506493,0.7012987012987013,0.7272727272727273,0.6233766233766234,0.7662337662337663,0.7142857142857143,0.5974025974025974,0.6973684210526315,0.04796010248863728,0.03798103332519531,549.2862021923065,0.017078351974487305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,pima-indians
