,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004099726676940918,0.12300963401794433,0.0009541988372802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008199453353881836,0.19217336177825928,0.0018571853637695313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012299180030822754,0.28486993312835696,0.002731990814208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
3,Cascading:low >= high,1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016398906707763672,0.47929604053497316,0.002731990814208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
4,Cascading:low >= high,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02049863338470459,0.6225972890853881,0.002731990814208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
5,Cascading:low >= high,1,0.3919270833333333,2,10,0.37662337662337664,0.3684210526315789,0.42857142857142855,0.2597402597402597,0.5194805194805194,0.45454545454545453,0.4025974025974026,0.3116883116883117,0.45454545454545453,0.34210526315789475,0.07262860349197836,0.024598360061645508,0.6289539813995362,0.0038477420806884766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
6,Cascading:low >= high,1,0.3854166666666667,2,50,0.36363636363636365,0.39473684210526316,0.36363636363636365,0.38961038961038963,0.33766233766233766,0.38961038961038963,0.42857142857142855,0.4155844155844156,0.35064935064935066,0.42105263157894735,0.029329780349989946,0.028698086738586426,0.6716346025466919,0.004933023452758789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
7,Cascading:low >= high,1,0.37890625,2,100,0.3246753246753247,0.40789473684210525,0.42857142857142855,0.36363636363636365,0.3116883116883117,0.38961038961038963,0.44155844155844154,0.36363636363636365,0.33766233766233766,0.42105263157894735,0.04330093975237747,0.032797813415527344,0.7518753051757813,0.006015205383300781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
8,Cascading:low >= high,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03689754009246826,0.8541563510894775,0.006015205383300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
9,Cascading:low >= high,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04099726676940918,0.9209460020065308,0.006015205383300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
