,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,50,40,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.004259729385375976,4.803159308433533,0.0006967067718505859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
1,,1,50,80,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.008519458770751952,10.297120285034179,0.0013060569763183594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
2,,1,50,160,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.01277918815612793,16.81255030632019,0.0019254446029663085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
3,,1,50,320,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.017038917541503905,25.887333488464357,0.0025431156158447266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
4,,1,250,40,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.021298646926879883,48.235049319267276,0.0031632184982299805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
5,,1,250,80,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.02555837631225586,74.81131212711334,0.0037858963012695314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
6,,1,250,160,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.029818105697631835,107.26996281147004,0.004409909248352051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
7,,1,250,320,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.03407783508300781,153.94593830108641,0.005029082298278809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
8,,1,500,40,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.03833756446838379,199.8532926082611,0.005644750595092773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
9,,1,500,80,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.042597293853759766,251.5243325948715,0.006265401840209961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
10,,1,500,160,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.046857023239135744,317.8458276987076,0.006885600090026855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
11,,1,500,320,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.05111675262451172,405.1616684913635,0.0075051307678222655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
12,,1,1000,40,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.05537648200988769,495.61784105300904,0.00812375545501709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
13,,1,1000,80,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.05963621139526367,602.6033416032791,0.008744621276855468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
14,,1,1000,160,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.06389594078063965,733.7330950498581,0.009366750717163086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
15,,1,1000,320,0.8221153846153846,0.7272727272727273,0.8,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8,0.95,0.06895591964867248,0.06815567016601562,887.1709951400757,0.009993171691894532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LSML+kNN,sonar
16,,2,50,40,0.7740384615384616,0.7272727272727273,0.7,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.08146911266875628,0.0724153995513916,891.9741544485092,0.01059863567352295,0.8616452991452992,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8556149732620321,0.8877005347593583,0.8609625668449198,0.8404255319148937,0.8776595744680851,0.020148008702209452,LSML+kNN,sonar
17,,2,50,80,0.7788461538461539,0.7272727272727273,0.7,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.07621365497484754,0.07667512893676758,897.4681154251099,0.011195635795593262,0.8611111111111112,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8556149732620321,0.8877005347593583,0.8556149732620321,0.8404255319148937,0.8776595744680851,0.020230566672904505,LSML+kNN,sonar
18,,2,50,160,0.7740384615384616,0.7272727272727273,0.7,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.08146911266875628,0.08093485832214356,903.9835454463959,0.011791825294494629,0.8616452991452992,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8556149732620321,0.8877005347593583,0.8609625668449198,0.8404255319148937,0.8776595744680851,0.020148008702209452,LSML+kNN,sonar
19,,2,50,320,0.7788461538461539,0.7272727272727273,0.7,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.07621365497484754,0.08519458770751953,913.05832862854,0.012392377853393555,0.8616452991452992,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8556149732620321,0.8877005347593583,0.8609625668449198,0.8404255319148937,0.8776595744680851,0.020148008702209452,LSML+kNN,sonar
20,,2,250,40,0.7788461538461539,0.7272727272727273,0.7,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.07621365497484754,0.0894543170928955,935.406044459343,0.012991070747375488,0.8621794871794872,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8609625668449198,0.8877005347593583,0.8609625668449198,0.8404255319148937,0.8776595744680851,0.020050854003738253,LSML+kNN,sonar
21,,2,250,80,0.7788461538461539,0.7272727272727273,0.7,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.07621365497484754,0.09371404647827149,961.9823072671891,0.013596034049987793,0.8611111111111112,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8556149732620321,0.8877005347593583,0.8556149732620321,0.8404255319148937,0.8776595744680851,0.020230566672904505,LSML+kNN,sonar
22,,2,250,160,0.7740384615384616,0.7272727272727273,0.7,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.08146911266875628,0.09797377586364746,994.4409579515457,0.014200448989868164,0.8621794871794872,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8609625668449198,0.8877005347593583,0.8609625668449198,0.8404255319148937,0.8776595744680851,0.020050854003738253,LSML+kNN,sonar
23,,2,250,320,0.7788461538461539,0.7272727272727273,0.7,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9,0.9,0.07621365497484754,0.10223350524902344,1041.116933441162,0.01479799747467041,0.8616452991452992,0.8870967741935484,0.8404255319148937,0.8288770053475936,0.8556149732620321,0.8823529411764706,0.8556149732620321,0.8877005347593583,0.8609625668449198,0.8404255319148937,0.8776595744680851,0.020148008702209452,LSML+kNN,sonar
