,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,25,diagonal,1,0.8173076923076923,0.7727272727272727,0.75,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.7619047619047619,0.9523809523809523,0.9047619047619048,0.75,0.85,0.07407146838773278,0.002960395812988281,232.7014662027359,0.0007387876510620117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,sonar
1,,100,diagonal,1,0.8173076923076923,0.8636363636363636,0.7,0.9047619047619048,0.8095238095238095,0.9047619047619048,0.5714285714285714,0.8095238095238095,0.9523809523809523,0.8,0.85,0.10554135859329572,0.005920791625976562,1059.3198397159576,0.0013747692108154296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,sonar
2,,25,diagonal,2,0.8125,0.8181818181818182,0.8,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.9047619047619048,0.8095238095238095,0.75,0.9,0.06599257573468378,0.008881187438964844,1292.0213059186935,0.001996159553527832,0.907051282051282,0.9193548387096774,0.9148936170212766,0.9144385026737968,0.9037433155080213,0.8823529411764706,0.9358288770053476,0.9358288770053476,0.8770053475935828,0.8829787234042553,0.9042553191489362,0.020086717598784866,stand+JDE+kNN,sonar
3,,100,diagonal,2,0.7836538461538461,0.8636363636363636,0.75,0.8095238095238095,0.7619047619047619,0.8095238095238095,0.5714285714285714,0.7619047619047619,0.7142857142857143,0.9,0.9,0.09313188801603715,0.011841583251953124,2118.6396794319153,0.002618718147277832,0.8958333333333334,0.8978494623655914,0.925531914893617,0.9037433155080213,0.8983957219251337,0.8770053475935828,0.9144385026737968,0.8983957219251337,0.8716577540106952,0.9042553191489362,0.8670212765957447,0.01774243029239502,stand+JDE+kNN,sonar
4,,25,diagonal,4,0.7884615384615384,0.7272727272727273,0.8,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.75,0.95,0.08451742109097858,0.014801979064941406,2351.341145634651,0.003237295150756836,0.8792735042735043,0.8817204301075269,0.8936170212765957,0.8877005347593583,0.8877005347593583,0.8663101604278075,0.8877005347593583,0.8609625668449198,0.8770053475935828,0.8670212765957447,0.8829787234042553,0.010474241749040925,stand+JDE+kNN,sonar
5,,100,diagonal,4,0.7836538461538461,0.7727272727272727,0.7,0.9047619047619048,0.7142857142857143,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.85,0.95,0.08848939128129094,0.017762374877929688,3177.959519147873,0.0038585901260375977,0.8776709401709402,0.8763440860215054,0.8936170212765957,0.9197860962566845,0.8609625668449198,0.893048128342246,0.8770053475935828,0.8502673796791443,0.8556149732620321,0.9042553191489362,0.8457446808510638,0.02347175051433128,stand+JDE+kNN,sonar
6,,25,diagonal,8,0.7740384615384616,0.7727272727272727,0.7,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.6190476190476191,0.8571428571428571,0.7619047619047619,0.8,0.85,0.07398584074485341,0.02072277069091797,3410.660985350609,0.004479026794433594,0.8360042735042735,0.8709677419354839,0.8404255319148937,0.8181818181818182,0.8609625668449198,0.8128342245989305,0.8556149732620321,0.8128342245989305,0.8235294117647058,0.8457446808510638,0.8191489361702128,0.020433858912522453,stand+JDE+kNN,sonar
7,,100,diagonal,8,0.7836538461538461,0.7727272727272727,0.75,0.9047619047619048,0.7142857142857143,0.8095238095238095,0.6190476190476191,0.8095238095238095,0.7619047619047619,0.85,0.85,0.07644520643181005,0.02368316650390625,4237.279358863831,0.005093932151794434,0.8402777777777778,0.8333333333333334,0.824468085106383,0.8556149732620321,0.8502673796791443,0.8502673796791443,0.8609625668449198,0.8074866310160428,0.839572192513369,0.8563829787234043,0.824468085106383,0.01657083846320998,stand+JDE+kNN,sonar
8,,25,diagonal,16,0.7692307692307693,0.7727272727272727,0.7,0.9047619047619048,0.8095238095238095,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.7619047619047619,0.9,0.75,0.09984724610554949,0.02664356231689453,4469.9808250665665,0.005714678764343261,0.7873931623931624,0.7741935483870968,0.7819148936170213,0.786096256684492,0.8181818181818182,0.7967914438502673,0.7914438502673797,0.7593582887700535,0.7807486631016043,0.7978723404255319,0.7872340425531915,0.014827479102794574,stand+JDE+kNN,sonar
9,,100,diagonal,16,0.7403846153846154,0.7727272727272727,0.75,0.7619047619047619,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.8095238095238095,0.7142857142857143,0.85,0.75,0.06325111247203467,0.029603958129882812,5296.599198579788,0.006332540512084961,0.8050213675213675,0.7903225806451613,0.8191489361702128,0.8074866310160428,0.7967914438502673,0.8128342245989305,0.7914438502673797,0.7647058823529411,0.8181818181818182,0.8351063829787234,0.8138297872340425,0.018751161335382988,stand+JDE+kNN,sonar
