,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,100,full,,1,0.7865168539325843,0.8421052631578947,0.8125,0.8888888888888888,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8235294117647058,0.07275760123016095,0.004087185859680176,31.500945520401,0.0013982534408569336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,wine
1,100,diagonal,,1,0.8707865168539326,0.7368421052631579,0.875,1.0,1.0,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.7647058823529411,0.08518521635640901,0.008174371719360352,46.724111223220824,0.002621960639953613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,wine
2,250,full,,1,0.7415730337078652,0.7368421052631579,0.8125,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.7058823529411765,0.08872323059623304,0.012261557579040527,125.18418054580688,0.003840994834899902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,wine
3,250,diagonal,,1,0.8707865168539326,0.9473684210526315,0.875,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.7222222222222222,0.9411764705882353,0.07855969615827982,0.016348743438720705,162.65718126296997,0.0050516843795776365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,wine
4,500,full,,1,0.7471910112359551,0.6842105263157895,0.8125,0.8888888888888888,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.8235294117647058,0.07487470009764491,0.02043592929840088,317.57459914684296,0.006260371208190918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,wine
5,500,diagonal,,1,0.8651685393258427,0.8947368421052632,0.875,1.0,1.0,0.6666666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.6111111111111112,0.7647058823529411,0.13046882817239752,0.024523115158081053,390.52901504039767,0.007468581199645996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,wine
6,100,full,,2,0.7078651685393258,0.7368421052631579,0.8125,0.7777777777777778,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.6470588235294118,0.07644252913048048,0.02861030101776123,422.02996056079866,0.008654308319091798,0.8576779026217228,0.8742138364779874,0.845679012345679,0.8125,0.85625,0.85,0.85,0.88125,0.8375,0.89375,0.8757763975155279,0.022737488723320043,CMAESFme+kNN,wine
7,100,diagonal,,2,0.8146067415730337,0.6842105263157895,0.875,1.0,1.0,0.8333333333333334,0.6666666666666666,0.9444444444444444,0.7777777777777778,0.7222222222222222,0.6470588235294118,0.12901474225593454,0.03269748687744141,437.25312626361847,0.009831857681274415,0.9313358302122348,0.89937106918239,0.9506172839506173,0.99375,0.98125,0.95625,0.85,0.975,0.9375,0.85625,0.9130434782608695,0.047889189351117745,CMAESFme+kNN,wine
8,250,full,,2,0.6797752808988764,0.631578947368421,0.6875,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.7222222222222222,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.6470588235294118,0.0635683870034993,0.03678467273712158,515.7131955862045,0.011012077331542969,0.8664169787765293,0.8616352201257862,0.8765432098765432,0.8375,0.85,0.8625,0.875,0.9,0.85625,0.88125,0.8633540372670807,0.016675462864362393,CMAESFme+kNN,wine
9,250,diagonal,,2,0.8202247191011236,0.9473684210526315,0.8125,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.7222222222222222,0.8235294117647058,0.09256403127120154,0.04087185859680176,553.1861963033676,0.012192320823669434,0.9176029962546817,0.9685534591194969,0.9197530864197531,0.84375,0.85,0.9625,0.8375,0.975,0.9625,0.925,0.9316770186335404,0.051594748061949025,CMAESFme+kNN,wine
