,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.7640449438202247,0.7368421052631579,0.8125,0.8888888888888888,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.8333333333333334,0.7222222222222222,0.8235294117647058,0.0825670780089029,0.0015245199203491211,89.57500448226929,0.0014559507369995117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
1,,1,25,diagonal,1,0.9101123595505618,0.9473684210526315,0.9375,1.0,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8235294117647058,0.06770173422691679,0.0030490398406982423,95.08961806297302,0.002717399597167969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
2,,1,100,full,1,0.7359550561797753,0.7368421052631579,0.8125,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.6111111111111112,0.8823529411764706,0.10577500948449184,0.004573559761047364,457.72518770694734,0.003961944580078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
3,,1,100,diagonal,1,0.949438202247191,0.9473684210526315,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,0.8823529411764706,0.04702404633720431,0.0060980796813964845,480.1510659456253,0.005190801620483398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
4,,4,25,full,1,0.7584269662921348,0.7894736842105263,0.8125,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.8235294117647058,0.09128194715324169,0.0076225996017456055,572.1196998596191,0.006441378593444824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
5,,4,25,diagonal,1,0.9382022471910112,0.9473684210526315,1.0,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.8235294117647058,0.0648204854752392,0.009147119522094727,577.8082544088363,0.007653093338012696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
6,,4,100,full,1,0.7584269662921348,0.8421052631578947,0.8125,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.7647058823529411,0.08533666514572583,0.010671639442443847,945.0687830448151,0.008896994590759277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
7,,4,100,diagonal,1,0.9438202247191011,0.9473684210526315,1.0,1.0,1.0,1.0,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9411764705882353,0.05557284857714568,0.012196159362792969,968.039235663414,0.010149669647216798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
8,,8,25,full,1,0.7752808988764045,0.8947368421052632,0.875,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.8235294117647058,0.08081856725517328,0.01372067928314209,1060.443332862854,0.011391353607177735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
9,,8,25,diagonal,1,0.9382022471910112,0.9473684210526315,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8333333333333334,1.0,0.8235294117647058,0.06941886838506503,0.015245199203491211,1066.25322368145,0.012617707252502441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
10,,8,100,full,1,0.7471910112359551,0.7368421052631579,0.875,0.8888888888888888,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.7647058823529411,0.09449954101532151,0.016769719123840333,1438.9334045648575,0.013851499557495118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,wine
