,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,25,full,1,0.7808988764044944,0.7894736842105263,0.875,0.8888888888888888,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8333333333333334,0.7777777777777778,0.8235294117647058,0.07802252698461466,0.0029023408889770506,193.71282198429108,0.001645970344543457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,wine
1,,25,diagonal,1,0.9213483146067416,0.9473684210526315,0.8125,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8333333333333334,1.0,0.8888888888888888,0.9411764705882353,0.06509103549064896,0.005804681777954101,207.09398419857024,0.002923250198364258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,wine
2,,100,full,1,0.7584269662921348,0.7368421052631579,0.875,0.8888888888888888,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.5,0.8235294117647058,0.10870020821309195,0.008707022666931153,979.326095366478,0.00419321060180664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,wine
3,,100,diagonal,1,0.9438202247191011,0.9473684210526315,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8823529411764706,0.05046537234120163,0.011609363555908202,1033.1811131000518,0.005478692054748535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,wine
4,,25,full,2,0.7078651685393258,0.6842105263157895,0.75,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.8333333333333334,0.6666666666666666,0.7058823529411765,0.07068980705405163,0.014511704444885254,1226.893935084343,0.006673598289489746,0.8776529338327091,0.8805031446540881,0.8888888888888888,0.86875,0.8375,0.86875,0.85,0.9,0.8625,0.90625,0.9130434782608695,0.023386131512060794,JDE+kNN,wine
5,,25,diagonal,2,0.9157303370786517,0.9473684210526315,0.75,1.0,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.8888888888888888,1.0,0.9444444444444444,0.9411764705882353,0.0729121222100874,0.017414045333862305,1240.275097298622,0.007883119583129882,0.9525593008739076,0.9559748427672956,0.8580246913580247,0.9625,0.94375,0.9625,0.975,0.98125,0.975,0.95625,0.9565217391304348,0.033291450283807894,JDE+kNN,wine
6,,100,full,2,0.6853932584269663,0.631578947368421,0.75,0.7222222222222222,0.5555555555555556,0.7222222222222222,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.6111111111111112,0.7647058823529411,0.07337355312347,0.020316386222839357,2012.5072084665298,0.009095454216003418,0.8707865168539326,0.8490566037735849,0.8827160493827161,0.85,0.9,0.88125,0.875,0.88125,0.85625,0.88125,0.8509316770186336,0.016887092788214195,JDE+kNN,wine
7,,100,diagonal,2,0.9213483146067416,0.8947368421052632,1.0,0.9444444444444444,1.0,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8823529411764706,0.05103788990675447,0.023218727111816405,2066.3622262001036,0.010303139686584473,0.9725343320848939,0.9874213836477987,0.9506172839506173,0.9625,0.98125,0.98125,0.98125,0.99375,0.9625,0.96875,0.9565217391304348,0.01360901391053726,JDE+kNN,wine
8,,25,full,4,0.6966292134831461,0.7368421052631579,0.75,0.6666666666666666,0.5555555555555556,0.6111111111111112,0.8333333333333334,0.6111111111111112,0.7222222222222222,0.7777777777777778,0.7058823529411765,0.08118109165331508,0.026121068000793456,2260.0750481843947,0.011514711380004882,0.8239700374531835,0.8238993710691824,0.8395061728395061,0.80625,0.81875,0.79375,0.8125,0.85,0.8,0.85625,0.8385093167701864,0.020329627533837036,JDE+kNN,wine
9,,25,diagonal,4,0.9213483146067416,0.9473684210526315,0.75,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9411764705882353,0.06389046785795689,0.029023408889770508,2273.456210398674,0.012738728523254394,0.9450686641697877,0.9245283018867925,0.8271604938271605,0.96875,0.975,0.95625,0.9625,0.98125,0.95,0.95,0.9565217391304348,0.04206963660598837,JDE+kNN,wine
