,error,jdepur__f__sig,jdepur__s__n_gen,jdepur__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.5,25,full,1,0.7696629213483146,0.7368421052631579,0.75,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.8235294117647058,0.061542396565720456,0.0025736331939697266,197.32967898845672,0.0014967679977416991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
1,,0.5,25,diagonal,1,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.7647058823529411,0.09253553508415255,0.005147266387939453,210.92454421520233,0.0027494430541992188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
2,,0.5,100,full,1,0.7303370786516854,0.7894736842105263,0.75,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.7058823529411765,0.08165203534814844,0.0077208995819091795,1001.4955335140228,0.003999733924865722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
3,,0.5,100,diagonal,1,0.7865168539325843,0.8421052631578947,0.9375,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6470588235294118,0.10666153489541566,0.010294532775878907,1056.731303191185,0.005240678787231445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
4,,1.0,25,full,1,0.7808988764044944,0.7894736842105263,0.875,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.7777777777777778,0.6111111111111112,0.8235294117647058,0.08910312322762191,0.012868165969848633,1253.2226483106613,0.0064751625061035155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
5,,1.0,25,diagonal,1,0.7584269662921348,0.7368421052631579,0.875,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6470588235294118,0.0824515443766834,0.015441799163818359,1266.856693315506,0.007719874382019043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
6,,1.0,100,full,1,0.7528089887640449,0.7368421052631579,0.8125,0.8888888888888888,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.8333333333333334,0.6666666666666666,0.7647058823529411,0.07677762758434042,0.018015432357788085,2058.679166698456,0.008946990966796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
7,,1.0,100,diagonal,1,0.7528089887640449,0.8947368421052632,0.75,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.7777777777777778,0.7058823529411765,0.08081058825923285,0.020589065551757813,2113.9435209512712,0.010185480117797852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
8,,10.0,25,full,1,0.7528089887640449,0.6842105263157895,0.875,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.7222222222222222,0.7777777777777778,0.7058823529411765,0.07614542954436511,0.023162698745727538,2310.143454313278,0.011414551734924316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
9,,10.0,25,diagonal,1,0.7191011235955056,0.6842105263157895,0.8125,0.7777777777777778,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.8333333333333334,0.7058823529411765,0.08274382255637928,0.025736331939697266,2323.584163379669,0.012643575668334961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
10,,10.0,100,full,1,0.7471910112359551,0.7368421052631579,0.875,0.7777777777777778,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.7058823529411765,0.054124123412492835,0.028309965133666994,3108.0730345726015,0.013872790336608886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
11,,10.0,100,diagonal,1,0.7247191011235955,0.7368421052631579,0.875,0.7777777777777778,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8333333333333334,0.5882352941176471,0.09198126771408817,0.030883598327636718,3161.6550666332246,0.015118288993835449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,wine
12,,0.5,25,full,2,0.6910112359550562,0.6842105263157895,0.75,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.6470588235294118,0.04805664408961093,0.03345723152160644,3358.984745621681,0.01630687713623047,0.8751560549313359,0.8805031446540881,0.8641975308641975,0.86875,0.86875,0.86875,0.88125,0.90625,0.89375,0.875,0.84472049689441,0.015961930204368424,JDEPur+kNN,wine
13,,0.5,25,diagonal,2,0.7191011235955056,0.6842105263157895,0.8125,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.7222222222222222,0.7777777777777778,0.6470588235294118,0.06315333087190288,0.03603086471557617,3372.579610848427,0.01749575138092041,0.8764044943820225,0.8805031446540881,0.8271604938271605,0.85,0.85,0.925,0.90625,0.88125,0.86875,0.9125,0.8633540372670807,0.02940010284883496,JDEPur+kNN,wine
14,,0.5,100,full,2,0.6629213483146067,0.631578947368421,0.75,0.7777777777777778,0.6111111111111112,0.5555555555555556,0.7222222222222222,0.5555555555555556,0.7222222222222222,0.6666666666666666,0.6470588235294118,0.07401614660714272,0.0386044979095459,4163.150600147247,0.018695688247680663,0.8639200998751561,0.8616352201257862,0.8518518518518519,0.85,0.85,0.86875,0.875,0.85625,0.875,0.88125,0.8695652173913043,0.010946598338675124,JDEPur+kNN,wine
15,,0.5,100,diagonal,2,0.7584269662921348,0.7368421052631579,0.9375,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.7058823529411765,0.08514202654484804,0.041178131103515626,4218.3863698244095,0.019889187812805176,0.8913857677902621,0.8930817610062893,0.9320987654320988,0.84375,0.88125,0.925,0.8625,0.875,0.9375,0.89375,0.8695652173913043,0.02978818160264192,JDEPur+kNN,wine
16,,1.0,25,full,2,0.6853932584269663,0.6842105263157895,0.8125,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.7777777777777778,0.5555555555555556,0.7222222222222222,0.6111111111111112,0.6470588235294118,0.08017659891763222,0.043751764297485354,4414.877714943886,0.021088480949401855,0.8639200998751561,0.8805031446540881,0.8580246913580247,0.8375,0.85625,0.86875,0.8625,0.8625,0.88125,0.875,0.8571428571428571,0.012501929632507998,JDEPur+kNN,wine
17,,1.0,25,diagonal,2,0.6853932584269663,0.6842105263157895,0.75,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.6470588235294118,0.05350423611009018,0.046325397491455075,4428.51175994873,0.02165055274963379,0.869538077403246,0.8742138364779874,0.8641975308641975,0.85625,0.8625,0.8875,0.85625,0.88125,0.8875,0.86875,0.8571428571428571,0.011788785757622355,JDEPur+kNN,wine
18,,1.0,100,full,2,0.702247191011236,0.6842105263157895,0.8125,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.7222222222222222,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.7058823529411765,0.08253467892683004,0.0488990306854248,5220.3342333316805,0.022156882286071777,0.8583021223470662,0.8742138364779874,0.8395061728395061,0.85625,0.8625,0.85625,0.85625,0.86875,0.8625,0.8625,0.84472049689441,0.009826350445659365,JDEPur+kNN,wine
19,,1.0,100,diagonal,2,0.702247191011236,0.7894736842105263,0.6875,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7222222222222222,0.6666666666666666,0.7058823529411765,0.06705244673197952,0.05147266387939453,5275.598587584495,0.022665524482727052,0.8789013732833958,0.9056603773584906,0.8765432098765432,0.85625,0.8875,0.875,0.9,0.85625,0.88125,0.86875,0.8819875776397516,0.01549248765478095,JDEPur+kNN,wine
20,,10.0,25,full,2,0.6853932584269663,0.6842105263157895,0.8125,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.7222222222222222,0.6470588235294118,0.07206746223341222,0.05404629707336426,5471.798520946502,0.02317948341369629,0.8583021223470662,0.8930817610062893,0.8395061728395061,0.83125,0.875,0.875,0.83125,0.85,0.8625,0.86875,0.8571428571428571,0.01944533929154105,JDEPur+kNN,wine
21,,10.0,25,diagonal,2,0.6910112359550562,0.7368421052631579,0.6875,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.7222222222222222,0.6470588235294118,0.039379649867845076,0.05661993026733399,5485.239230012894,0.023687243461608887,0.8595505617977528,0.8616352201257862,0.845679012345679,0.84375,0.86875,0.8625,0.875,0.8375,0.86875,0.85,0.8819875776397516,0.013942478486232018,JDEPur+kNN,wine
22,,10.0,100,full,2,0.6853932584269663,0.6842105263157895,0.6875,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.5882352941176471,0.05316590395853433,0.05919356346130371,6269.728101205826,0.02420320510864258,0.8601747815230961,0.8616352201257862,0.8518518518518519,0.8375,0.8625,0.86875,0.88125,0.85625,0.875,0.8625,0.84472049689441,0.01260191957865467,JDEPur+kNN,wine
