,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,weighted,0.9662921348314607,0.9473684210526315,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,1.0,0.9411764705882353,0.03689817494006776,0.002202343940734863,0.020307588577270507,0.0008358478546142579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
1,,1,1,orthonormalized,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.09192548084931192,0.004404687881469726,0.048560261726379395,0.0015562057495117187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
2,,1,2,weighted,0.9662921348314607,0.9473684210526315,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,0.9411764705882353,0.02727987102774791,0.00660703182220459,0.08165407180786133,0.002266979217529297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
3,,1,2,orthonormalized,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.09192548084931192,0.008809375762939452,0.10991501808166504,0.002978348731994629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
4,,1,3,weighted,0.9775280898876404,0.9473684210526315,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.026870374595105623,0.011011719703674316,0.13305215835571288,0.003862428665161133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
5,,1,3,orthonormalized,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.09192548084931192,0.01321406364440918,0.1575639247894287,0.004617953300476074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
6,,1,4,weighted,0.9775280898876404,0.9473684210526315,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.026870374595105623,0.015416407585144043,0.18908348083496093,0.005482983589172363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
7,,1,4,orthonormalized,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.09192548084931192,0.017618751525878905,0.2046375036239624,0.006199979782104492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
8,,1,5,weighted,0.9775280898876404,0.9473684210526315,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.026870374595105623,0.01982109546661377,0.2197084903717041,0.006903505325317383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
9,,1,5,orthonormalized,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.09192548084931192,0.022023439407348633,0.24635882377624513,0.007612180709838867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,wine
