,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.0032168865203857423,13.526103472709655,0.0006911277770996094,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.0064337730407714845,76.97217979431153,0.0013169288635253907,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.009650659561157227,205.02405853271483,0.0019231796264648437,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.012867546081542969,466.9726454257965,0.002529454231262207,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.01608443260192871,480.0552889347076,0.003126239776611328,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.019301319122314455,545.1882273435592,0.003789472579956055,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.022518205642700195,674.406799864769,0.004468894004821778,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.025735092163085938,894.1914175987243,0.005147695541381836,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
8,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.02895197868347168,907.717521071434,0.005806922912597656,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
9,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.03216886520385742,971.1635973930358,0.0064716339111328125,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
