,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.9719101123595506,1.0,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,1.0,0.9411764705882353,0.03752339893962701,0.002497410774230957,92.06053864955902,0.0015972137451171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
1,,1,25,diagonal,1,0.9382022471910112,1.0,1.0,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,0.7647058823529411,0.07096019765927453,0.004994821548461914,97.84264278411865,0.002883172035217285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
2,,1,100,full,1,0.9382022471910112,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,1.0,0.9444444444444444,1.0,0.8235294117647058,0.05986995395545592,0.007492232322692871,468.08848576545716,0.0041501522064208984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
3,,1,100,diagonal,1,0.9550561797752809,0.9473684210526315,1.0,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.033373601773437525,0.009989643096923828,490.73759145736693,0.0054477214813232425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
4,,4,25,full,1,0.9550561797752809,1.0,1.0,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.048517031496700475,0.012487053871154785,585.1261763811111,0.006708598136901856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
5,,4,25,diagonal,1,0.9325842696629213,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9411764705882353,0.03335068842878835,0.014984464645385743,591.1095401763916,0.00797271728515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
6,,4,100,full,1,0.9325842696629213,0.8947368421052632,0.9375,0.9444444444444444,1.0,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.9411764705882353,0.04775063150777821,0.0174818754196167,970.7781838655471,0.009218811988830566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
7,,4,100,diagonal,1,0.9550561797752809,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.9411764705882353,0.04160626450366912,0.019979286193847656,993.9412970542908,0.010463070869445801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
8,,8,25,full,1,0.9438202247191011,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.8823529411764706,0.05046537234120163,0.022476696968078615,1088.9265105247498,0.011709761619567872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
9,,8,25,diagonal,1,0.9550561797752809,1.0,1.0,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,1.0,0.9444444444444444,1.0,0.9411764705882353,0.048517031496700475,0.02497410774230957,1094.9618810176848,0.012975406646728516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
10,,8,100,full,1,0.9438202247191011,0.9473684210526315,1.0,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.8235294117647058,0.05193259132300958,0.027471518516540526,1485.9296605587006,0.014219999313354492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
11,,8,100,diagonal,1,0.9550561797752809,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9444444444444444,1.0,0.8823529411764706,0.034594157261479026,0.029968929290771485,1509.7882198572158,0.015455341339111328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,wine
12,,1,25,full,2,0.9550561797752809,0.9473684210526315,1.0,1.0,1.0,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8823529411764706,0.04259154455111046,0.032466340065002444,1601.8487585067749,0.016680598258972168,0.9775280898876404,0.9622641509433962,0.9814814814814815,0.9875,0.98125,0.9875,0.975,0.96875,0.99375,0.9625,0.9751552795031055,0.010195176447862744,stand+JDEkNN+kNN,wine
13,,1,25,diagonal,2,0.9269662921348315,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.7647058823529411,0.07332578922667006,0.0349637508392334,1607.6308626413345,0.017420363426208497,0.978776529338327,0.9811320754716981,0.9753086419753086,0.98125,0.9875,0.96875,0.98125,0.96875,0.99375,0.975,0.9751552795031055,0.007473635478592858,stand+JDEkNN+kNN,wine
14,,1,100,full,2,0.9438202247191011,0.9473684210526315,1.0,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,0.8823529411764706,0.04392573112560378,0.037461161613464355,1977.876705622673,0.017946362495422363,0.980649188514357,0.9874213836477987,0.9753086419753086,1.0,0.96875,0.9875,0.9625,0.99375,0.99375,0.9625,0.9751552795031055,0.012921268763727829,stand+JDEkNN+kNN,wine
15,,1,100,diagonal,2,0.9325842696629213,0.9473684210526315,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,1.0,0.048507176847041124,0.03995857238769531,2000.5258113145828,0.018474245071411134,0.9762796504369539,0.9874213836477987,0.9691358024691358,0.96875,0.975,0.99375,0.96875,0.975,0.975,0.9625,0.9875776397515528,0.009571897577599296,stand+JDEkNN+kNN,wine
16,,4,25,full,2,0.9213483146067416,1.0,1.0,1.0,0.9444444444444444,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8235294117647058,0.07242009978652814,0.04245598316192627,2094.914396238327,0.019001102447509764,0.9744069912609239,0.9874213836477987,0.9814814814814815,0.96875,0.975,0.95625,0.9875,0.95,0.98125,0.96875,0.9875776397515528,0.012652564813078271,stand+JDEkNN+kNN,wine
17,,4,25,diagonal,2,0.9382022471910112,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,1.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9411764705882353,0.03890867776910211,0.04495339393615723,2100.8977600336075,0.019521260261535646,0.9744069912609239,1.0,0.9629629629629629,0.975,0.96875,0.98125,0.95,0.9625,0.98125,0.975,0.9875776397515528,0.013502833260521638,stand+JDEkNN+kNN,wine
18,,4,100,full,2,0.9325842696629213,0.8421052631578947,1.0,0.9444444444444444,1.0,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,1.0,0.068163783830417,0.047450804710388185,2480.566403722763,0.020044350624084474,0.9762796504369539,0.9748427672955975,0.9567901234567902,0.9875,0.96875,0.99375,0.95,0.99375,0.99375,0.975,0.968944099378882,0.014920447349479197,stand+JDEkNN+kNN,wine
