,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,25,full,1,0.9606741573033708,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,0.043286706137303066,0.002491664886474609,214.5974114894867,0.0009456872940063477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,wine
1,,25,diagonal,1,0.9550561797752809,0.9473684210526315,1.0,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,0.8235294117647058,0.05662252174351928,0.004983329772949218,229.0031455039978,0.0014985561370849609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,wine
2,,100,full,1,0.9662921348314607,1.0,1.0,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,1.0,0.9411764705882353,0.037060898375364325,0.0074749946594238285,1041.451173043251,0.0020479202270507813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,wine
3,,100,diagonal,1,0.9719101123595506,0.9473684210526315,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,1.0,0.8823529411764706,0.03855610714388177,0.009966659545898437,1097.4707931280136,0.0025963783264160156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDE+kNN,wine
4,,25,full,2,0.9606741573033708,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,0.03544650867998069,0.012458324432373047,1312.0682046175002,0.003111386299133301,0.9818976279650437,0.9559748427672956,0.9753086419753086,0.975,0.99375,0.975,0.99375,0.99375,0.99375,0.98125,0.9813664596273292,0.01171825901047792,stand+JDE+kNN,wine
5,,25,diagonal,2,0.949438202247191,0.9473684210526315,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,0.8823529411764706,0.04702404633720431,0.014949989318847657,1326.4739386320114,0.0036262035369873046,0.9800249687890137,1.0,0.9753086419753086,0.975,0.95,0.975,0.99375,0.9875,0.98125,0.975,0.9875776397515528,0.013043349044485862,stand+JDE+kNN,wine
6,,100,full,2,0.9550561797752809,1.0,1.0,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.041672753624335215,0.017441654205322267,2138.9219661712646,0.004140663146972656,0.9843945068664169,0.9874213836477987,0.9814814814814815,1.0,0.99375,0.9875,0.9625,0.99375,0.9625,0.98125,0.9937888198757764,0.01225868511744237,stand+JDE+kNN,wine
7,,100,diagonal,2,0.9606741573033708,0.9473684210526315,0.9375,1.0,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,0.0358378223583426,0.019933319091796874,2194.941586256027,0.004654979705810547,0.9850187265917603,0.9937106918238994,0.9876543209876543,0.975,0.98125,0.98125,0.9875,0.98125,0.98125,0.99375,0.9875776397515528,0.005732578714193375,stand+JDE+kNN,wine
8,,25,full,4,0.9606741573033708,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.049910148054624244,0.022424983978271484,2409.538997745514,0.005249810218811035,0.9831460674157303,0.9748427672955975,0.9814814814814815,0.9875,0.99375,0.975,0.98125,0.99375,1.0,0.9625,0.9813664596273292,0.010483294968488443,stand+JDE+kNN,wine
9,,25,diagonal,4,0.9550561797752809,0.9473684210526315,0.9375,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,1.0,0.9411764705882353,0.03366781689506529,0.024916648864746094,2423.944731760025,0.006444787979125977,0.9781523096129837,0.9874213836477987,0.9691358024691358,0.975,0.9625,0.9875,0.975,0.9875,0.9625,0.98125,0.9937888198757764,0.010516325771209372,stand+JDE+kNN,wine
10,,100,full,4,0.9606741573033708,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,1.0,1.0,0.9411764705882353,0.05011840395472108,0.027408313751220704,3236.392759299278,0.007637119293212891,0.9893882646691635,1.0,0.9876543209876543,1.0,0.9875,0.99375,0.98125,0.99375,0.975,0.9875,0.9875776397515528,0.0074157660396467024,stand+JDE+kNN,wine
11,,100,diagonal,4,0.9719101123595506,0.9473684210526315,0.9375,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.9411764705882353,0.028606127442939427,0.029899978637695314,3292.412379384041,0.008824658393859864,0.9850187265917603,0.9937106918238994,0.9814814814814815,0.98125,0.99375,0.99375,0.98125,0.98125,0.9875,0.98125,0.9751552795031055,0.006330778577178865,stand+JDE+kNN,wine
12,,25,full,8,0.9719101123595506,0.9473684210526315,1.0,1.0,1.0,0.8333333333333334,0.9444444444444444,1.0,1.0,1.0,1.0,0.05106840454882057,0.03239164352416992,3507.0097908735274,0.010014843940734864,0.9862671660424469,0.9748427672955975,0.9876543209876543,0.9875,0.9875,0.9875,0.9875,0.99375,0.99375,0.975,0.9875776397515528,0.006157691485376177,stand+JDE+kNN,wine
13,,25,diagonal,8,0.9438202247191011,0.9473684210526315,0.9375,1.0,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.9444444444444444,1.0,1.0,0.9411764705882353,0.04975288985318639,0.034883308410644534,3521.415524888039,0.011215305328369141,0.9762796504369539,0.9874213836477987,0.9691358024691358,0.96875,0.95625,0.98125,0.99375,0.9875,0.9625,0.975,0.9813664596273292,0.011429170270237838,stand+JDE+kNN,wine
14,,100,full,8,0.9606741573033708,1.0,0.9375,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,1.0,0.03595720407222117,0.03737497329711914,4333.863552427292,0.012403202056884766,0.9881398252184769,0.9874213836477987,0.9938271604938271,0.99375,1.0,1.0,0.98125,0.99375,0.96875,0.98125,0.9813664596273292,0.009454737598954209,stand+JDE+kNN,wine
15,,100,diagonal,8,0.949438202247191,0.9473684210526315,0.9375,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,1.0,0.8823529411764706,0.04006908593683392,0.03986663818359375,4389.883172512054,0.013594651222229004,0.9794007490636704,0.9937106918238994,0.9814814814814815,0.975,0.975,0.9875,0.98125,0.96875,0.98125,0.98125,0.968944099378882,0.007392377604063653,stand+JDE+kNN,wine
16,,25,full,16,0.9775280898876404,0.9473684210526315,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,1.0,0.036596461324813666,0.04235830307006836,4604.4805840015415,0.014790725708007813,0.9831460674157303,0.9748427672955975,0.9814814814814815,0.99375,0.99375,0.98125,0.975,0.9875,0.98125,0.975,0.9875776397515528,0.0068927831855875536,stand+JDE+kNN,wine
17,,25,diagonal,16,0.9719101123595506,0.9473684210526315,0.9375,1.0,0.9444444444444444,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.03763961575894523,0.04484996795654297,4618.886318016052,0.015993523597717284,0.9775280898876404,0.9874213836477987,0.9691358024691358,0.96875,0.9625,0.9875,0.9875,0.975,0.9875,0.96875,0.9813664596273292,0.009315042760504261,stand+JDE+kNN,wine
18,,100,full,16,0.949438202247191,1.0,0.9375,1.0,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.04632304310357869,0.04734163284301758,5431.334345555306,0.017188429832458496,0.9862671660424469,0.9874213836477987,0.9876543209876543,0.9875,0.99375,0.9875,0.99375,0.99375,0.96875,0.98125,0.9813664596273292,0.007282269776297877,stand+JDE+kNN,wine
19,,100,diagonal,16,0.9662921348314607,0.9473684210526315,0.9375,1.0,0.9444444444444444,1.0,0.8888888888888888,1.0,1.0,1.0,0.9411764705882353,0.03737154013177578,0.04983329772949219,5487.353965640068,0.018378639221191408,0.9818976279650437,0.9937106918238994,0.9938271604938271,0.95625,0.9875,0.98125,0.9875,0.975,0.9875,0.98125,0.9751552795031055,0.010619312736645821,stand+JDE+kNN,wine
20,,25,full,32,0.9775280898876404,0.9473684210526315,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,1.0,0.036596461324813666,0.052324962615966794,5701.951377129555,0.01957070827484131,0.9875156054931336,0.9874213836477987,0.9876543209876543,0.99375,0.99375,0.975,0.98125,0.9875,0.9875,0.99375,0.9875776397515528,0.0055904711069728686,stand+JDE+kNN,wine
21,,25,diagonal,32,0.9719101123595506,0.9473684210526315,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.05106840454882057,0.05481662750244141,5716.357111144066,0.020757293701171874,0.978776529338327,0.9937106918238994,0.9753086419753086,0.975,0.975,0.98125,0.98125,0.98125,0.975,0.96875,0.9813664596273292,0.006351643269488963,stand+JDE+kNN,wine
22,,100,full,32,0.949438202247191,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.06313536039593955,0.057308292388916014,6528.8051386833195,0.02127087116241455,0.9868913857677902,1.0,0.9876543209876543,0.9875,0.9875,0.98125,0.98125,0.99375,0.96875,0.9875,0.9937888198757764,0.008129603410604775,stand+JDE+kNN,wine
23,,100,diagonal,32,0.9606741573033708,0.9473684210526315,0.9375,1.0,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,1.0,1.0,0.9411764705882353,0.035999182639070426,0.05979995727539063,6584.824758768082,0.021779513359069823,0.9843945068664169,0.9874213836477987,0.9753086419753086,0.96875,0.9875,0.99375,0.98125,0.99375,0.99375,0.98125,0.9813664596273292,0.0079851611513643,stand+JDE+kNN,wine
24,,25,full,64,0.9550561797752809,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,1.0,1.0,1.0,0.05438046252741385,0.062291622161865234,6799.422170257569,0.022287750244140626,0.9775280898876404,0.9811320754716981,0.9814814814814815,0.96875,0.99375,0.975,0.975,0.9875,0.975,0.96875,0.968944099378882,0.007988589595266953,stand+JDE+kNN,wine
25,,25,diagonal,64,0.949438202247191,0.9473684210526315,0.9375,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.0462559473936364,0.06478328704833984,6813.82790427208,0.022799253463745117,0.970661672908864,0.9811320754716981,0.9691358024691358,0.975,0.96875,0.98125,0.96875,0.95625,0.975,0.9625,0.968944099378882,0.007391074372833565,stand+JDE+kNN,wine
26,,100,full,64,0.949438202247191,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.06313536039593955,0.06727495193481445,7626.275931811333,0.02330448627471924,0.9862671660424469,0.9937106918238994,1.0,0.98125,0.9875,0.9875,0.9875,0.9875,0.975,0.96875,0.9937888198757764,0.008749975586175985,stand+JDE+kNN,wine
27,,100,diagonal,64,0.949438202247191,0.9473684210526315,0.9375,1.0,0.9444444444444444,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.06317803828178513,0.06976661682128907,7682.295551896095,0.02381293773651123,0.9744069912609239,0.9748427672955975,0.9506172839506173,0.975,0.98125,0.975,0.9875,0.96875,0.975,0.975,0.9813664596273292,0.0093071452356121,stand+JDE+kNN,wine
28,,25,full,128,0.6685393258426966,0.631578947368421,0.6875,0.7222222222222222,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.7647058823529411,0.05727312870388888,0.07225828170776367,7896.892963385582,0.024168777465820312,0.6466916354556804,0.6855345911949685,0.6790123456790124,0.7,0.55625,0.525,0.6375,0.65,0.71875,0.5875,0.7267080745341615,0.066013486990481,stand+JDE+kNN,wine
29,,25,diagonal,128,0.6292134831460674,0.631578947368421,0.75,0.6666666666666666,0.7222222222222222,0.5,0.5,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.7058823529411765,0.08428750802723478,0.07474994659423828,7911.298697400093,0.024523401260375978,0.602996254681648,0.6037735849056604,0.5925925925925926,0.66875,0.60625,0.6125,0.56875,0.61875,0.49375,0.58125,0.6832298136645962,0.04979893998961403,stand+JDE+kNN,wine
