,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.9213483146067416,0.9473684210526315,1.0,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8888888888888888,1.0,0.8823529411764706,0.1,10000,0.01,True,0.05151851502859804,0.004781937599182129,1.4249200344085693,0.0011562347412109376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
1,,1,0.898876404494382,0.8947368421052632,1.0,0.7777777777777778,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8333333333333334,0.8888888888888888,1.0,0.8823529411764706,0.1,10000,0.01,False,0.06945524224304786,0.009563875198364259,2.717325496673584,0.0021017313003540037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.91875,0.9473684210526315,1.0,0.8333333333333334,1.0,0.0,0.9444444444444444,0.9444444444444444,0.7777777777777778,1.0,0.8235294117647058,0.1,10000,0.05,True,0.28605346606750964,0.014345812797546386,4.224390983581543,0.00294036865234375,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30000000000000004,stand+SDML+kNN,wine
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9269662921348315,0.8947368421052632,1.0,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.8823529411764706,0.1,10000,0.05,False,0.04354025839671893,0.019127750396728517,5.564753937721252,0.0038934946060180664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,0.9473684210526315,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8888888888888888,1.0,0.8823529411764706,0.1,10000,0.1,True,0.042402670462384,0.023909687995910645,6.840858888626099,0.004925060272216797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,0.9473684210526315,1.0,0.8888888888888888,1.0,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.8235294117647058,0.1,10000,0.1,False,0.056351862750381204,0.028691625595092772,8.169424962997436,0.005828261375427246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.898876404494382,0.8947368421052632,1.0,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8333333333333334,1.0,0.7647058823529411,0.1,10000,0.25,True,0.07170313822972076,0.0334735631942749,9.420474195480347,0.006730985641479492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9101123595505618,0.9473684210526315,1.0,0.8333333333333334,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.8333333333333334,1.0,0.8235294117647058,0.1,10000,0.25,False,0.06801791222730794,0.038255500793457034,10.78024845123291,0.007628750801086426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.01,True,0.05499913591218674,0.04303743839263916,36.78506865501404,0.00851902961730957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.01,False,0.05499913591218674,0.04781937599182129,63.05883598327637,0.009417366981506348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.05,True,0.05499913591218674,0.05260131359100342,89.23107981681824,0.010313463211059571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
11,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.05,False,0.05499913591218674,0.057383251190185544,115.37253987789154,0.011222076416015626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
12,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.1,True,0.05499913591218674,0.06216518878936768,141.29402461051941,0.012137150764465332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
13,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.1,False,0.05499913591218674,0.0669471263885498,167.15339748859407,0.01302800178527832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
14,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9325842696629213,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.25,True,0.05499913591218674,0.07172906398773193,193.14709465503694,0.01390852928161621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,wine
